NACA 0012 AIRFOILS                              
 Alfa =   6.90000 Re =   231570.188 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.12465
   0.99374  0.00214  0.11691
   0.98279  0.00365  0.10216
   0.96998  0.00540  0.08481
   0.95565  0.00732  0.06536
   0.94026  0.00934  0.04458
   0.92426  0.01141  0.02326
   0.90794  0.01348  0.00193
   0.89145  0.01554 -0.01914
   0.87488  0.01756 -0.03990
   0.85827  0.01955 -0.06014
   0.84163  0.02150 -0.08001
   0.82498  0.02342 -0.09939
   0.80831  0.02531 -0.11847
   0.79164  0.02715 -0.13704
   0.77497  0.02896 -0.15562
   0.75829  0.03074 -0.17380
   0.74161  0.03247 -0.19179
   0.72493  0.03417 -0.20982
   0.70825  0.03583 -0.22772
   0.69157  0.03745 -0.24553
   0.67489  0.03904 -0.26352
   0.65822  0.04058 -0.28152
   0.64155  0.04208 -0.29961
   0.62490  0.04354 -0.31801
   0.60824  0.04495 -0.33650
   0.59160  0.04632 -0.35520
   0.57497  0.04764 -0.37437
   0.55835  0.04891 -0.39372
   0.54174  0.05012 -0.41350
   0.52515  0.05129 -0.43360
   0.50858  0.05239 -0.45427
   0.49203  0.05344 -0.47531
   0.47550  0.05442 -0.49690
   0.45899  0.05534 -0.51906
   0.44250  0.05618 -0.54182
   0.42604  0.05696 -0.56518
   0.40962  0.05766 -0.58920
   0.39322  0.05828 -0.61408
   0.37686  0.05881 -0.63973
   0.36055  0.05925 -0.66621
   0.34427  0.05960 -0.69361
   0.32805  0.05984 -0.72193
   0.31188  0.05999 -0.75134
   0.29576  0.06001 -0.78186
   0.27972  0.05992 -0.81361
   0.26374  0.05971 -0.84688
   0.24786  0.05936 -0.88112
   0.23206  0.05887 -0.91704
   0.21638  0.05822 -0.95462
   0.20082  0.05742 -0.99391
   0.18542  0.05645 -1.03312
   0.17020  0.05530 -1.07389
   0.15520  0.05397 -1.11442
   0.14048  0.05243 -1.15320
   0.12612  0.05070 -1.20165
   0.11223  0.04877 -1.33024
   0.09895  0.04665 -1.69172
   0.08645  0.04437 -1.80222
   0.07492  0.04198 -1.84552
   0.06448  0.03953 -1.89014
   0.05523  0.03707 -1.94012
   0.04714  0.03466 -1.99901
   0.04013  0.03232 -2.06972
   0.03407  0.03007 -2.15327
   0.02883  0.02790 -2.24821
   0.02429  0.02580 -2.35386
   0.02033  0.02378 -2.46673
   0.01687  0.02180 -2.58256
   0.01383  0.01987 -2.69584
   0.01117  0.01796 -2.80146
   0.00884  0.01607 -2.89129
   0.00681  0.01418 -2.95695
   0.00506  0.01228 -2.98176
   0.00358  0.01038 -2.95455
   0.00236  0.00847 -2.84829
   0.00140  0.00655 -2.64655
   0.00069  0.00463 -2.35004
   0.00024  0.00274 -1.96135
   0.00003  0.00090 -1.53659
   0.00003 -0.00090 -1.09427
   0.00024 -0.00274 -0.64918
   0.00069 -0.00463 -0.22414
   0.00140 -0.00655  0.15519
   0.00236 -0.00847  0.45951
   0.00358 -0.01038  0.68494
   0.00506 -0.01228  0.83929
   0.00681 -0.01418  0.93440
   0.00884 -0.01607  0.98418
   0.01117 -0.01796  0.99990
   0.01383 -0.01987  0.99131
   0.01687 -0.02180  0.96496
   0.02033 -0.02378  0.92686
   0.02429 -0.02580  0.87946
   0.02883 -0.02790  0.82661
   0.03407 -0.03007  0.76935
   0.04013 -0.03232  0.70961
   0.04714 -0.03466  0.64862
   0.05523 -0.03707  0.58775
   0.06448 -0.03953  0.52801
   0.07492 -0.04198  0.47110
   0.08645 -0.04437  0.41806
   0.09895 -0.04665  0.36970
   0.11223 -0.04877  0.32623
   0.12612 -0.05070  0.28793
   0.14048 -0.05243  0.25403
   0.15520 -0.05397  0.22442
   0.17020 -0.05530  0.19835
   0.18542 -0.05645  0.17564
   0.20082 -0.05742  0.15573
   0.21638 -0.05822  0.13824
   0.23206 -0.05887  0.12297
   0.24786 -0.05936  0.10942
   0.26374 -0.05971  0.09767
   0.27972 -0.05992  0.08734
   0.29577 -0.06001  0.07842
   0.31188 -0.05999  0.07040
   0.32805 -0.05984  0.06355
   0.34427 -0.05960  0.05763
   0.36055 -0.05925  0.05242
   0.37686 -0.05881  0.04806
   0.39322 -0.05827  0.04425
   0.40962 -0.05766  0.04105
   0.42604 -0.05696  0.03835
   0.44250 -0.05618  0.03614
   0.45899 -0.05534  0.03430
   0.47550 -0.05442  0.03297
   0.49203 -0.05344  0.03183
   0.50858 -0.05239  0.03107
   0.52515 -0.05129  0.03063
   0.54175 -0.05012  0.03045
   0.55835 -0.04891  0.03049
   0.57497 -0.04764  0.03084
   0.59160 -0.04632  0.03126
   0.60825 -0.04495  0.03206
   0.62490 -0.04354  0.03291
   0.64155 -0.04208  0.03408
   0.65822 -0.04058  0.03544
   0.67490 -0.03904  0.03695
   0.69157 -0.03745  0.03870
   0.70825 -0.03583  0.04068
   0.72493 -0.03417  0.04299
   0.74161 -0.03247  0.04547
   0.75829 -0.03074  0.04829
   0.77497 -0.02896  0.05141
   0.79165 -0.02715  0.05496
   0.80831 -0.02531  0.05887
   0.82498 -0.02342  0.06330
   0.84163 -0.02150  0.06816
   0.85827 -0.01955  0.07356
   0.87488 -0.01756  0.07956
   0.89145 -0.01554  0.08595
   0.90794 -0.01348  0.09276
   0.92426 -0.01141  0.09957
   0.94026 -0.00934  0.10611
   0.95565 -0.00732  0.11190
   0.96998 -0.00540  0.11663
   0.98279 -0.00365  0.12029
   0.99374 -0.00214  0.12312
   1.00000 -0.00126  0.12465
