NACA 0012 AIRFOILS                              
 Alfa =  -1.20000 Re =   247008.203 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.18273
   0.99374  0.00214  0.16498
   0.98279  0.00365  0.13023
   0.96998  0.00540  0.08147
   0.95565  0.00732  0.02425
   0.94026  0.00934 -0.01402
   0.92426  0.01141 -0.01655
   0.90794  0.01348 -0.01910
   0.89145  0.01554 -0.02177
   0.87488  0.01756 -0.02465
   0.85827  0.01955 -0.02780
   0.84163  0.02150 -0.03129
   0.82498  0.02342 -0.03517
   0.80831  0.02531 -0.03946
   0.79164  0.02715 -0.04419
   0.77497  0.02896 -0.04931
   0.75829  0.03074 -0.05480
   0.74161  0.03247 -0.06072
   0.72493  0.03417 -0.06710
   0.70825  0.03583 -0.07390
   0.69157  0.03745 -0.08106
   0.67489  0.03904 -0.08852
   0.65822  0.04058 -0.09618
   0.64155  0.04208 -0.10398
   0.62490  0.04354 -0.11187
   0.60824  0.04495 -0.11980
   0.59160  0.04632 -0.12769
   0.57497  0.04764 -0.13563
   0.55835  0.04891 -0.14351
   0.54174  0.05012 -0.15135
   0.52515  0.05129 -0.15913
   0.50858  0.05239 -0.16689
   0.49203  0.05344 -0.17455
   0.47550  0.05442 -0.18222
   0.45899  0.05534 -0.18973
   0.44250  0.05618 -0.19722
   0.42604  0.05696 -0.20460
   0.40962  0.05766 -0.21182
   0.39322  0.05828 -0.21901
   0.37686  0.05881 -0.22600
   0.36055  0.05925 -0.23281
   0.34427  0.05960 -0.23939
   0.32805  0.05984 -0.24573
   0.31188  0.05999 -0.25175
   0.29576  0.06001 -0.25746
   0.27972  0.05992 -0.26272
   0.26374  0.05971 -0.26763
   0.24786  0.05936 -0.27166
   0.23206  0.05887 -0.27524
   0.21638  0.05822 -0.27807
   0.20082  0.05742 -0.27984
   0.18542  0.05645 -0.28047
   0.17020  0.05530 -0.27993
   0.15520  0.05397 -0.27763
   0.14048  0.05243 -0.27333
   0.12612  0.05070 -0.26702
   0.11223  0.04877 -0.25778
   0.09895  0.04665 -0.24535
   0.08645  0.04437 -0.22904
   0.07492  0.04198 -0.20870
   0.06448  0.03953 -0.18396
   0.05523  0.03707 -0.15442
   0.04714  0.03466 -0.12030
   0.04013  0.03232 -0.08161
   0.03407  0.03007 -0.03753
   0.02883  0.02790  0.01106
   0.02429  0.02580  0.06622
   0.02033  0.02378  0.12705
   0.01687  0.02180  0.19458
   0.01383  0.01987  0.27101
   0.01117  0.01796  0.35577
   0.00884  0.01607  0.44780
   0.00681  0.01418  0.54843
   0.00506  0.01228  0.65549
   0.00358  0.01038  0.76110
   0.00236  0.00847  0.86077
   0.00140  0.00655  0.94211
   0.00069  0.00463  0.99077
   0.00024  0.00274  0.99670
   0.00003  0.00090  0.95654
   0.00003 -0.00090  0.87361
   0.00024 -0.00274  0.74783
   0.00069 -0.00463  0.58844
   0.00140 -0.00655  0.41243
   0.00236 -0.00847  0.23379
   0.00358 -0.01038  0.07319
   0.00506 -0.01228 -0.06849
   0.00681 -0.01418 -0.18934
   0.00884 -0.01607 -0.28741
   0.01117 -0.01796 -0.36667
   0.01383 -0.01987 -0.42969
   0.01687 -0.02180 -0.48012
   0.02033 -0.02378 -0.51884
   0.02429 -0.02580 -0.54912
   0.02883 -0.02790 -0.57145
   0.03407 -0.03007 -0.58792
   0.04013 -0.03232 -0.59869
   0.04714 -0.03466 -0.60481
   0.05523 -0.03707 -0.60714
   0.06448 -0.03953 -0.60607
   0.07492 -0.04198 -0.60162
   0.08645 -0.04437 -0.59501
   0.09895 -0.04665 -0.58632
   0.11223 -0.04877 -0.57633
   0.12612 -0.05070 -0.56523
   0.14048 -0.05243 -0.55351
   0.15520 -0.05397 -0.54126
   0.17020 -0.05530 -0.52880
   0.18542 -0.05645 -0.51602
   0.20082 -0.05742 -0.50307
   0.21638 -0.05822 -0.49003
   0.23206 -0.05887 -0.47704
   0.24786 -0.05936 -0.46405
   0.26374 -0.05971 -0.45110
   0.27972 -0.05992 -0.43808
   0.29577 -0.06001 -0.42518
   0.31188 -0.05999 -0.41250
   0.32805 -0.05984 -0.39984
   0.34427 -0.05960 -0.38729
   0.36055 -0.05925 -0.37494
