NACA 0012 AIRFOILS                              
 Alfa =  -2.70000 Re =   115785.094 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.07416
   0.99374  0.00214  0.07373
   0.98279  0.00365  0.07306
   0.96998  0.00540  0.07219
   0.95565  0.00732  0.07108
   0.94026  0.00934  0.06969
   0.92426  0.01141  0.06799
   0.90794  0.01348  0.06591
   0.89145  0.01554  0.06344
   0.87488  0.01756  0.06051
   0.85827  0.01955  0.05709
   0.84163  0.02150  0.05316
   0.82498  0.02342  0.04872
   0.80831  0.02531  0.04385
   0.79164  0.02715  0.03856
   0.77497  0.02896  0.03275
   0.75829  0.03074  0.02645
   0.74161  0.03247  0.01973
   0.72493  0.03417  0.01270
   0.70825  0.03583  0.00547
   0.69157  0.03745 -0.00182
   0.67489  0.03904 -0.00912
   0.65822  0.04058 -0.01632
   0.64155  0.04208 -0.02341
   0.62490  0.04354 -0.03036
   0.60824  0.04495 -0.03712
   0.59160  0.04632 -0.04367
   0.57497  0.04764 -0.05009
   0.55835  0.04891 -0.05630
   0.54174  0.05012 -0.06231
   0.52515  0.05129 -0.06812
   0.50858  0.05239 -0.07375
   0.49203  0.05344 -0.07914
   0.47550  0.05442 -0.08442
   0.45899  0.05534 -0.08937
   0.44250  0.05618 -0.09416
   0.42604  0.05696 -0.09862
   0.40962  0.05766 -0.10283
   0.39322  0.05828 -0.10675
   0.37686  0.05881 -0.11034
   0.36055  0.05925 -0.11349
   0.34427  0.05960 -0.11623
   0.32805  0.05984 -0.11846
   0.31188  0.05999 -0.12014
   0.29576  0.06001 -0.12114
   0.27972  0.05992 -0.12145
   0.26374  0.05971 -0.12099
   0.24786  0.05936 -0.11938
   0.23206  0.05887 -0.11682
   0.21638  0.05822 -0.11297
   0.20082  0.05742 -0.10758
   0.18542  0.05645 -0.10046
   0.17020  0.05530 -0.09144
   0.15520  0.05397 -0.07979
   0.14048  0.05243 -0.06544
   0.12612  0.05070 -0.04784
   0.11223  0.04877 -0.02649
   0.09895  0.04665 -0.00056
   0.08645  0.04437  0.03000
   0.07492  0.04198  0.06584
   0.06448  0.03953  0.10652
   0.05523  0.03707  0.15207
   0.04714  0.03466  0.20225
   0.04013  0.03232  0.25632
   0.03407  0.03007  0.31440
   0.02883  0.02790  0.37608
   0.02429  0.02580  0.44129
   0.02033  0.02378  0.51030
   0.01687  0.02180  0.58219
   0.01383  0.01987  0.65688
   0.01117  0.01796  0.73412
   0.00884  0.01607  0.80936
   0.00681  0.01418  0.88145
   0.00506  0.01228  0.94267
   0.00358  0.01038  0.98577
   0.00236  0.00847  0.99964
   0.00140  0.00655  0.97244
   0.00069  0.00463  0.89303
   0.00024  0.00274  0.76142
   0.00003  0.00090  0.58606
   0.00003 -0.00090  0.37453
   0.00024 -0.00274  0.13506
   0.00069 -0.00463 -0.12117
   0.00140 -0.00655 -0.36902
   0.00236 -0.00847 -0.58267
   0.00358 -0.01038 -0.75727
   0.00506 -0.01228 -0.89056
   0.00681 -0.01418 -0.98872
   0.00884 -0.01607 -1.05605
   0.01117 -0.01796 -1.10127
   0.01383 -0.01987 -1.12501
   0.01687 -0.02180 -1.13622
   0.02033 -0.02378 -1.13593
   0.02429 -0.02580 -1.12801
   0.02883 -0.02790 -1.11300
   0.03407 -0.03007 -1.09284
   0.04013 -0.03232 -1.06845
   0.04714 -0.03466 -1.04074
   0.05523 -0.03707 -1.01089
   0.06448 -0.03953 -0.97915
   0.07492 -0.04198 -0.94676
   0.08645 -0.04437 -0.91425
   0.09895 -0.04665 -0.88234
   0.11223 -0.04877 -0.85152
   0.12612 -0.05070 -0.82198
   0.14048 -0.05243 -0.79385
   0.15520 -0.05397 -0.76700
   0.17020 -0.05530 -0.74144
   0.18542 -0.05645 -0.71695
   0.20082 -0.05742 -0.69345
   0.21638 -0.05822 -0.67094
   0.23206 -0.05887 -0.64923
   0.24786 -0.05936 -0.62840
   0.26374 -0.05971 -0.60831
   0.27972 -0.05992 -0.58895
   0.29577 -0.06001 -0.57034
   0.31188 -0.05999 -0.55254
   0.32805 -0.05984 -0.53547
   0.34427 -0.05960 -0.51921
   0.36055 -0.05925 -0.50378
   0.37686 -0.05881 -0.48918
   0.39322 -0.05827 -0.47544
   0.40962 -0.05766 -0.46254
   0.42604 -0.05696 -0.45045
   0.44250 -0.05618 -0.43913
   0.45899 -0.05534 -0.42854
   0.47550 -0.05442 -0.41859
   0.49203 -0.05344 -0.40922
   0.50858 -0.05239 -0.40044
   0.52515 -0.05129 -0.39220
   0.54175 -0.05012 -0.38443
   0.55835 -0.04891 -0.37710
   0.57497 -0.04764 -0.37013
   0.59160 -0.04632 -0.36346
   0.60825 -0.04495 -0.35704
   0.62490 -0.04354 -0.35080
   0.64155 -0.04208 -0.34468
   0.65822 -0.04058 -0.33861
   0.67490 -0.03904 -0.33253
   0.69157 -0.03745 -0.31598
   0.70825 -0.03583 -0.26199
   0.72493 -0.03417 -0.21548
   0.74161 -0.03247 -0.17830
   0.75829 -0.03074 -0.15042
   0.77497 -0.02896 -0.12993
   0.79165 -0.02715 -0.11431
   0.80831 -0.02531 -0.10146
   0.82498 -0.02342 -0.08989
   0.84163 -0.02150 -0.07847
   0.85827 -0.01955 -0.06668
   0.87488 -0.01756 -0.05450
   0.89145 -0.01554 -0.04190
   0.90794 -0.01348 -0.02817
   0.92426 -0.01141 -0.01364
   0.94026 -0.00934  0.00202
   0.95565 -0.00732  0.01864
   0.96998 -0.00540  0.03554
   0.98279 -0.00365  0.05220
   0.99374 -0.00214  0.06817
   1.00000 -0.00126  0.07416
