NACA 0012 AIRFOILS                              
 Alfa =  -5.10000 Re =   138942.109 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.11301
   0.99374  0.00214  0.11207
   0.98279  0.00365  0.11036
   0.96998  0.00540  0.10807
   0.95565  0.00732  0.10509
   0.94026  0.00934  0.10142
   0.92426  0.01141  0.09720
   0.90794  0.01348  0.09239
   0.89145  0.01554  0.08694
   0.87488  0.01756  0.08092
   0.85827  0.01955  0.07449
   0.84163  0.02150  0.06787
   0.82498  0.02342  0.06126
   0.80831  0.02531  0.05476
   0.79164  0.02715  0.04853
   0.77497  0.02896  0.04255
   0.75829  0.03074  0.03690
   0.74161  0.03247  0.03161
   0.72493  0.03417  0.02659
   0.70825  0.03583  0.02187
   0.69157  0.03745  0.01746
   0.67489  0.03904  0.01327
   0.65822  0.04058  0.00939
   0.64155  0.04208  0.00570
   0.62490  0.04354  0.00223
   0.60824  0.04495 -0.00104
   0.59160  0.04632 -0.00401
   0.57497  0.04764 -0.00689
   0.55835  0.04891 -0.00954
   0.54174  0.05012 -0.01193
   0.52515  0.05129 -0.01411
   0.50858  0.05239 -0.01610
   0.49203  0.05344 -0.01774
   0.47550  0.05442 -0.01927
   0.45899  0.05534 -0.02033
   0.44250  0.05618 -0.02121
   0.42604  0.05696 -0.02165
   0.40962  0.05766 -0.02170
   0.39322  0.05828 -0.02139
   0.37686  0.05881 -0.02055
   0.36055  0.05925 -0.01915
   0.34427  0.05960 -0.01716
   0.32805  0.05984 -0.01444
   0.31188  0.05999 -0.01098
   0.29576  0.06001 -0.00664
   0.27972  0.05992 -0.00129
   0.26374  0.05971  0.00507
   0.24786  0.05936  0.01295
   0.23206  0.05887  0.02213
   0.21638  0.05822  0.03293
   0.20082  0.05742  0.04580
   0.18542  0.05645  0.06082
   0.17020  0.05530  0.07830
   0.15520  0.05397  0.09890
   0.14048  0.05243  0.12300
   0.12612  0.05070  0.15083
   0.11223  0.04877  0.18323
   0.09895  0.04665  0.22058
   0.08645  0.04437  0.26310
   0.07492  0.04198  0.31089
   0.06448  0.03953  0.36323
   0.05523  0.03707  0.41976
   0.04714  0.03466  0.47927
   0.04013  0.03232  0.54085
   0.03407  0.03007  0.60408
   0.02883  0.02790  0.66774
   0.02429  0.02580  0.73124
   0.02033  0.02378  0.79360
   0.01687  0.02180  0.85301
   0.01383  0.01987  0.90750
   0.01117  0.01796  0.95383
   0.00884  0.01607  0.98696
   0.00681  0.01418  1.00000
   0.00506  0.01228  0.98346
   0.00358  0.01038  0.92700
   0.00236  0.00847  0.81653
   0.00140  0.00655  0.64231
   0.00069  0.00463  0.40139
   0.00024  0.00274  0.10820
   0.00003  0.00090 -0.21873
   0.00003 -0.00090 -0.56237
   0.00024 -0.00274 -0.91541
   0.00069 -0.00463 -1.25523
   0.00140 -0.00655 -1.54476
   0.00236 -0.00847 -1.76514
   0.00358 -0.01038 -1.91758
   0.00506 -0.01228 -2.00566
   0.00681 -0.01418 -2.04882
   0.00884 -0.01607 -2.05396
   0.01117 -0.01796 -2.03431
   0.01383 -0.01987 -1.99516
   0.01687 -0.02180 -1.94451
   0.02033 -0.02378 -1.88544
   0.02429 -0.02580 -1.82126
   0.02883 -0.02790 -1.75301
   0.03407 -0.03007 -1.68251
   0.04013 -0.03232 -1.61079
   0.04714 -0.03466 -1.53857
   0.05523 -0.03707 -1.46689
   0.06448 -0.03953 -1.39678
   0.07492 -0.04198 -1.32939
   0.08645 -0.04437 -1.26586
   0.09895 -0.04665 -1.20705
   0.11223 -0.04877 -1.15347
   0.12612 -0.05070 -1.10519
   0.14048 -0.05243 -1.06203
   0.15520 -0.05397 -1.02357
   0.17020 -0.05530 -0.98926
   0.18542 -0.05645 -0.95857
   0.20082 -0.05742 -0.93096
   0.21638 -0.05822 -0.90604
