NACA 0012 AIRFOILS                              
 Alfa =  -0.50000 Re =   308760.250 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.21030
   0.99374  0.00214  0.19752
   0.98279  0.00365  0.17271
   0.96998  0.00540  0.14760
   0.95565  0.00732  0.12120
   0.94026  0.00934  0.09043
   0.92426  0.01141  0.05118
   0.90794  0.01348  0.00116
   0.89145  0.01554 -0.05072
   0.87488  0.01756 -0.05493
   0.85827  0.01955 -0.05918
   0.84163  0.02150 -0.06354
   0.82498  0.02342 -0.06807
   0.80831  0.02531 -0.07282
   0.79164  0.02715 -0.07779
   0.77497  0.02896 -0.08301
   0.75829  0.03074 -0.08851
   0.74161  0.03247 -0.09434
   0.72493  0.03417 -0.10052
   0.70825  0.03583 -0.10704
   0.69157  0.03745 -0.11389
   0.67489  0.03904 -0.12105
   0.65822  0.04058 -0.12848
   0.64155  0.04208 -0.13614
   0.62490  0.04354 -0.14401
   0.60824  0.04495 -0.15202
   0.59160  0.04632 -0.16014
   0.57497  0.04764 -0.16841
   0.55835  0.04891 -0.17675
   0.54174  0.05012 -0.18514
   0.52515  0.05129 -0.19357
   0.50858  0.05239 -0.20208
   0.49203  0.05344 -0.21058
   0.47550  0.05442 -0.21918
   0.45899  0.05534 -0.22768
   0.44250  0.05618 -0.23629
   0.42604  0.05696 -0.24484
   0.40962  0.05766 -0.25333
   0.39322  0.05828 -0.26189
   0.37686  0.05881 -0.27033
   0.36055  0.05925 -0.27869
   0.34427  0.05960 -0.28697
   0.32805  0.05984 -0.29501
   0.31188  0.05999 -0.30296
   0.29576  0.06001 -0.31074
   0.27972  0.05992 -0.31814
   0.26374  0.05971 -0.32535
   0.24786  0.05936 -0.33194
   0.23206  0.05887 -0.33826
   0.21638  0.05822 -0.34403
   0.20082  0.05742 -0.34900
   0.18542  0.05645 -0.35315
   0.17020  0.05530 -0.35643
   0.15520  0.05397 -0.35836
   0.14048  0.05243 -0.35872
   0.12612  0.05070 -0.35754
   0.11223  0.04877 -0.35406
   0.09895  0.04665 -0.34795
   0.08645  0.04437 -0.33863
   0.07492  0.04198 -0.32560
   0.06448  0.03953 -0.30892
   0.05523  0.03707 -0.28749
