NACA 0012 AIRFOILS                              
 Alfa =   0.60000 Re =   138942.109 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.09685
   0.99374  0.00214  0.08670
   0.98279  0.00365  0.06534
   0.96998  0.00540  0.03750
   0.95565  0.00732  0.00167
   0.94026  0.00934 -0.04254
   0.92426  0.01141 -0.09598
   0.90794  0.01348 -0.12317
   0.89145  0.01554 -0.12659
   0.87488  0.01756 -0.12997
   0.85827  0.01955 -0.13336
   0.84163  0.02150 -0.13682
   0.82498  0.02342 -0.14041
   0.80831  0.02531 -0.14417
   0.79164  0.02715 -0.14812
   0.77497  0.02896 -0.15232
   0.75829  0.03074 -0.15678
   0.74161  0.03247 -0.16155
   0.72493  0.03417 -0.16665
   0.70825  0.03583 -0.17210
   0.69157  0.03745 -0.17791
   0.67489  0.03904 -0.18405
   0.65822  0.04058 -0.19055
   0.64155  0.04208 -0.19743
   0.62490  0.04354 -0.20473
   0.60824  0.04495 -0.21246
   0.59160  0.04632 -0.22060
   0.57497  0.04764 -0.22917
   0.55835  0.04891 -0.23811
   0.54174  0.05012 -0.24742
   0.52515  0.05129 -0.25704
   0.50858  0.05239 -0.26697
   0.49203  0.05344 -0.27714
   0.47550  0.05442 -0.28756
   0.45899  0.05534 -0.29817
   0.44250  0.05618 -0.30898
   0.42604  0.05696 -0.31994
   0.40962  0.05766 -0.33102
   0.39322  0.05828 -0.34228
   0.37686  0.05881 -0.35363
   0.36055  0.05925 -0.36509
   0.34427  0.05960 -0.37661
   0.32805  0.05984 -0.38822
   0.31188  0.05999 -0.39986
   0.29576  0.06001 -0.41153
   0.27972  0.05992 -0.42326
   0.26374  0.05971 -0.43499
   0.24786  0.05936 -0.44653
   0.23206  0.05887 -0.45807
   0.21638  0.05822 -0.46957
   0.20082  0.05742 -0.48078
   0.18542  0.05645 -0.49180
   0.17020  0.05530 -0.50258
   0.15520  0.05397 -0.51282
   0.14048  0.05243 -0.52242
   0.12612  0.05070 -0.53147
   0.11223  0.04877 -0.53939
   0.09895  0.04665 -0.54608
   0.08645  0.04437 -0.55075
   0.07492  0.04198 -0.55314
   0.06448  0.03953 -0.55314
   0.05523  0.03707 -0.54963
   0.04714  0.03466 -0.54200
   0.04013  0.03232 -0.53052
   0.03407  0.03007 -0.51403
   0.02883  0.02790 -0.49288
   0.02429  0.02580 -0.46370
   0.02033  0.02378 -0.42865
   0.01687  0.02180 -0.38376
   0.01383  0.01987 -0.32885
   0.01117  0.01796 -0.26079
   0.00884  0.01607 -0.17675
   0.00681  0.01418 -0.07614
   0.00506  0.01228  0.04559
   0.00358  0.01038  0.18455
   0.00236  0.00847  0.34223
   0.00140  0.00655  0.51187
   0.00069  0.00463  0.67130
   0.00024  0.00274  0.81301
   0.00003  0.00090  0.91873
   0.00003 -0.00090  0.98078
   0.00024 -0.00274  0.99985
   0.00069 -0.00463  0.97353
   0.00140 -0.00655  0.90748
   0.00236 -0.00847  0.81259
   0.00358 -0.01038  0.70163
   0.00506 -0.01228  0.58991
   0.00681 -0.01418  0.47952
   0.00884 -0.01607  0.37707
   0.01117 -0.01796  0.28450
   0.01383 -0.01987  0.20135
   0.01687 -0.02180  0.12705
   0.02033 -0.02378  0.06123
   0.02429 -0.02580  0.00286
   0.02883 -0.02790 -0.04874
   0.03407 -0.03007 -0.09450
   0.04013 -0.03232 -0.13472
   0.04714 -0.03466 -0.16990
   0.05523 -0.03707 -0.20046
   0.06448 -0.03953 -0.22630
   0.07492 -0.04198 -0.24768
   0.08645 -0.04437 -0.26496
   0.09895 -0.04665 -0.27784
   0.11223 -0.04877 -0.28749
   0.12612 -0.05070 -0.29386
   0.14048 -0.05243 -0.29788
   0.15520 -0.05397 -0.29970
   0.17020 -0.05530 -0.29989
   0.18542 -0.05645 -0.29855
   0.20082 -0.05742 -0.29591
