NACA 0012 AIRFOILS                              
 Alfa =  12.66667 Re =    64590.844 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.29787
   0.99374  0.00214 -0.29955
   0.98279  0.00365 -0.30250
   0.96998  0.00540 -0.30600
   0.95565  0.00732 -0.30999
   0.94026  0.00934 -0.31434
   0.92426  0.01141 -0.31897
   0.90794  0.01348 -0.32379
   0.89145  0.01554 -0.32877
   0.87488  0.01756 -0.33390
   0.85827  0.01955 -0.33917
   0.84163  0.02150 -0.34458
   0.82498  0.02342 -0.35014
   0.80831  0.02531 -0.35585
   0.79164  0.02715 -0.36172
   0.77497  0.02896 -0.36776
   0.75829  0.03074 -0.37398
   0.74161  0.03247 -0.38039
   0.72493  0.03417 -0.38700
   0.70825  0.03583 -0.39381
   0.69157  0.03745 -0.40086
   0.67489  0.03904 -0.40813
   0.65822  0.04058 -0.41567
   0.64155  0.04208 -0.42347
   0.62490  0.04354 -0.43156
   0.60824  0.04495 -0.43996
   0.59160  0.04632 -0.44868
   0.57497  0.04764 -0.45777
   0.55835  0.04891 -0.46723
   0.54174  0.05012 -0.47711
   0.52515  0.05129 -0.48744
   0.50858  0.05239 -0.49825
   0.49203  0.05344 -0.50960
   0.47550  0.05442 -0.52153
   0.45899  0.05534 -0.53409
   0.44250  0.05618 -0.54736
   0.42604  0.05696 -0.56141
   0.40962  0.05766 -0.57633
   0.39322  0.05828 -0.59223
   0.37686  0.05881 -0.60923
   0.36055  0.05925 -0.62749
   0.34427  0.05960 -0.64720
   0.32805  0.05984 -0.66860
   0.31188  0.05999 -0.69199
   0.29576  0.06001 -0.71780
   0.27972  0.05992 -0.74663
   0.26374  0.05971 -0.77933
   0.24786  0.05936 -0.81809
   0.23206  0.05887 -0.86540
   0.21638  0.05822 -0.92981
   0.20082  0.05742 -1.00725
   0.18542  0.05645 -1.00947
   0.17020  0.05530 -1.01174
   0.15520  0.05397 -1.01410
   0.14048  0.05243 -1.01657
   0.12612  0.05070 -1.01915
   0.11223  0.04877 -1.02183
   0.09895  0.04665 -1.02462
   0.08645  0.04437 -1.02749
   0.07492  0.04198 -1.03047
   0.06448  0.03953 -1.03359
   0.05523  0.03707 -1.03694
   0.04714  0.03466 -1.04073
   0.04013  0.03232 -1.04532
   0.03407  0.03007 -1.05131
   0.02883  0.02790 -1.05958
   0.02429  0.02580 -1.07162
   0.02033  0.02378 -1.08960
   0.01687  0.02180 -1.11693
   0.01383  0.01987 -1.15876
   0.01117  0.01796 -1.22083
   0.00884  0.01607 -1.30457
   0.00681  0.01418 -1.40760
   0.00506  0.01228 -1.50832
   0.00358  0.01038 -1.57952
   0.00236  0.00847 -1.59201
   0.00140  0.00655 -1.52701
   0.00069  0.00463 -1.37732
   0.00024  0.00274 -1.14877
   0.00003  0.00090 -0.87500
   0.00003 -0.00090 -0.57312
   0.00024 -0.00274 -0.25691
   0.00069 -0.00463  0.05315
   0.00140 -0.00655  0.33585
   0.00236 -0.00847  0.57014
   0.00358 -0.01038  0.74607
   0.00506 -0.01228  0.86797
   0.00681 -0.01418  0.94536
   0.00884 -0.01607  0.98646
   0.01117 -0.01796  0.99989
   0.01383 -0.01987  0.99319
   0.01687 -0.02180  0.97092
   0.02033 -0.02378  0.93839
   0.02429 -0.02580  0.89754
   0.02883 -0.02790  0.85073
   0.03407 -0.03007  0.79945
   0.04013 -0.03232  0.74530
   0.04714 -0.03466  0.68865
   0.05523 -0.03707  0.63131
   0.06448 -0.03953  0.57415
   0.07492 -0.04198  0.51825
   0.08645 -0.04437  0.46512
   0.09895 -0.04665  0.41562
   0.11223 -0.04877  0.37010
   0.12612 -0.05070  0.32892
   0.14048 -0.05243  0.29157
   0.15520 -0.05397  0.25808
   0.17020 -0.05530  0.22789
   0.18542 -0.05645  0.20059
   0.20082 -0.05742  0.17601
   0.21638 -0.05822  0.15373
   0.23206 -0.05887  0.13355
   0.24786 -0.05936  0.11502
   0.26374 -0.05971  0.09814
   0.27972 -0.05992  0.08275
   0.29577 -0.06001  0.06865
   0.31188 -0.05999  0.05550
   0.32805 -0.05984  0.04342
   0.34427 -0.05960  0.03229
   0.36055 -0.05925  0.02187
   0.37686 -0.05881  0.01217
   0.39322 -0.05827  0.00310
   0.40962 -0.05766 -0.00546
   0.42604 -0.05696 -0.01351
   0.44250 -0.05618 -0.02115
   0.45899 -0.05534 -0.02841
   0.47550 -0.05442 -0.03531
   0.49203 -0.05344 -0.04199
   0.50858 -0.05239 -0.04842
   0.52515 -0.05129 -0.05459
   0.54175 -0.05012 -0.06064
   0.55835 -0.04891 -0.06654
   0.57497 -0.04764 -0.07226
   0.59160 -0.04632 -0.07804
   0.60825 -0.04495 -0.08363
   0.62490 -0.04354 -0.08932
   0.64155 -0.04208 -0.09493
   0.65822 -0.04058 -0.10053
   0.67490 -0.03904 -0.10625
   0.69157 -0.03745 -0.11200
   0.70825 -0.03583 -0.11784
   0.72493 -0.03417 -0.12372
   0.74161 -0.03247 -0.12982
   0.75829 -0.03074 -0.13603
   0.77497 -0.02896 -0.14244
   0.79165 -0.02715 -0.14903
   0.80831 -0.02531 -0.15587
   0.82498 -0.02342 -0.16296
   0.84163 -0.02150 -0.17043
   0.85827 -0.01955 -0.17827
   0.87488 -0.01756 -0.18647
   0.89145 -0.01554 -0.19532
   0.90794 -0.01348 -0.20464
   0.92426 -0.01141 -0.21491
   0.94026 -0.00934 -0.22604
   0.95565 -0.00732 -0.23800
   0.96998 -0.00540 -0.25091
   0.98279 -0.00365 -0.26477
   0.99374 -0.00214 -0.27881
   1.00000 -0.00126 -0.29787
