NACA 0012 AIRFOILS                              
 Alfa =   8.50000 Re =   277884.219 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.12014
   0.99374  0.00214  0.11409
   0.98279  0.00365  0.10262
   0.96998  0.00540  0.08861
   0.95565  0.00732  0.07228
   0.94026  0.00934  0.05417
   0.92426  0.01141  0.03489
   0.90794  0.01348  0.01489
   0.89145  0.01554 -0.00547
   0.87488  0.01756 -0.02609
   0.85827  0.01955 -0.04667
   0.84163  0.02150 -0.06727
   0.82498  0.02342 -0.08772
   0.80831  0.02531 -0.10812
   0.79164  0.02715 -0.12824
   0.77497  0.02896 -0.14850
   0.75829  0.03074 -0.16849
   0.74161  0.03247 -0.18841
   0.72493  0.03417 -0.20842
   0.70825  0.03583 -0.22836
   0.69157  0.03745 -0.24831
   0.67489  0.03904 -0.26847
   0.65822  0.04058 -0.28866
   0.64155  0.04208 -0.30902
   0.62490  0.04354 -0.32973
   0.60824  0.04495 -0.35056
   0.59160  0.04632 -0.37168
   0.57497  0.04764 -0.39331
   0.55835  0.04891 -0.41519
   0.54174  0.05012 -0.43760
   0.52515  0.05129 -0.46039
   0.50858  0.05239 -0.48384
   0.49203  0.05344 -0.50776
   0.47550  0.05442 -0.53238
   0.45899  0.05534 -0.55769
   0.44250  0.05618 -0.58373
   0.42604  0.05696 -0.61052
   0.40962  0.05766 -0.63821
   0.39322  0.05828 -0.66689
   0.37686  0.05881 -0.69662
   0.36055  0.05925 -0.72745
   0.34427  0.05960 -0.75945
   0.32805  0.05984 -0.79275
   0.31188  0.05999 -0.82752
   0.29576  0.06001 -0.86384
   0.27972  0.05992 -0.90197
   0.26374  0.05971 -0.94217
   0.24786  0.05936 -0.98423
   0.23206  0.05887 -1.02876
   0.21638  0.05822 -1.07621
   0.20082  0.05742 -1.12648
   0.18542  0.05645 -1.18009
   0.17020  0.05530 -1.23780
   0.15520  0.05397 -1.29932
   0.14048  0.05243 -1.36493
   0.12612  0.05070 -1.43507
   0.11223  0.04877 -1.50885
   0.09895  0.04665 -1.58586
   0.08645  0.04437 -1.66778
   0.07492  0.04198 -1.79857
   0.06448  0.03953 -2.15196
   0.05523  0.03707 -2.72484
   0.04714  0.03466 -2.76933
   0.04013  0.03232 -2.80959
   0.03407  0.03007 -2.85224
   0.02883  0.02790 -2.90303
   0.02429  0.02580 -2.96875
   0.02033  0.02378 -3.05700
   0.01687  0.02180 -3.17233
   0.01383  0.01987 -3.31396
   0.01117  0.01796 -3.47681
   0.00884  0.01607 -3.64235
   0.00681  0.01418 -3.79147
   0.00506  0.01228 -3.89938
   0.00358  0.01038 -3.94957
   0.00236  0.00847 -3.90673
   0.00140  0.00655 -3.74576
   0.00069  0.00463 -3.46082
   0.00024  0.00274 -3.04594
   0.00003  0.00090 -2.56547
   0.00003 -0.00090 -2.04411
   0.00024 -0.00274 -1.49459
   0.00069 -0.00463 -0.95083
   0.00140 -0.00655 -0.43892
   0.00236 -0.00847 -0.00720
   0.00358 -0.01038  0.33458
   0.00506 -0.01228  0.58864
   0.00681 -0.01418  0.76835
   0.00884 -0.01607  0.88597
   0.01117 -0.01796  0.95679
   0.01383 -0.01987  0.99153
   0.01687 -0.02180  0.99982
   0.02033 -0.02378  0.98819
   0.02429 -0.02580  0.96187
   0.02883 -0.02790  0.92438
   0.03407 -0.03007  0.87875
   0.04013 -0.03232  0.82696
   0.04714 -0.03466  0.77119
   0.05523 -0.03707  0.71281
   0.06448 -0.03953  0.65380
   0.07492 -0.04198  0.59590
   0.08645 -0.04437  0.54065
   0.09895 -0.04665  0.48924
   0.11223 -0.04877  0.44227
   0.12612 -0.05070  0.40009
   0.14048 -0.05243  0.36229
   0.15520 -0.05397  0.32873
   0.17020 -0.05530  0.29882
   0.18542 -0.05645  0.27224
   0.20082 -0.05742  0.24871
   0.21638 -0.05822  0.22765
   0.23206 -0.05887  0.20896
   0.24786 -0.05936  0.19210
   0.26374 -0.05971  0.17719
   0.27972 -0.05992  0.16382
   0.29577 -0.06001  0.15196
   0.31188 -0.05999  0.14107
   0.32805 -0.05984  0.13149
   0.34427 -0.05960  0.12291
   0.36055 -0.05925  0.11515
   0.37686 -0.05881  0.10829
   0.39322 -0.05827  0.10206
   0.40962 -0.05766  0.09653
   0.42604 -0.05696  0.09156
   0.44250 -0.05618  0.08712
   0.45899 -0.05534  0.08312
   0.47550 -0.05442  0.07967
   0.49203 -0.05344  0.07645
   0.50858 -0.05239  0.07364
   0.52515 -0.05129  0.07121
   0.54175 -0.05012  0.06905
   0.55835 -0.04891  0.06714
   0.57497 -0.04764  0.06557
   0.59160 -0.04632  0.06407
   0.60825 -0.04495  0.06296
   0.62490 -0.04354  0.06188
   0.64155 -0.04208  0.06117
   0.65822 -0.04058  0.06059
   0.67490 -0.03904  0.06018
   0.69157 -0.03745  0.05994
   0.70825 -0.03583  0.05993
   0.72493 -0.03417  0.06023
   0.74161 -0.03247  0.06058
   0.75829 -0.03074  0.06128
   0.77497 -0.02896  0.06213
   0.79165 -0.02715  0.06340
   0.80831 -0.02531  0.06488
   0.82498 -0.02342  0.06682
   0.84163 -0.02150  0.06909
   0.85827 -0.01955  0.07181
   0.87488 -0.01756  0.07520
   0.89145 -0.01554  0.07906
   0.90794 -0.01348  0.08374
   0.92426 -0.01141  0.08894
   0.94026 -0.00934  0.09482
   0.95565 -0.00732  0.10116
   0.96998 -0.00540  0.10751
   0.98279 -0.00365  0.11326
   0.99374 -0.00214  0.11811
   1.00000 -0.00126  0.12014
