NACA 0012 AIRFOILS                              
 Alfa =   7.25000 Re =    64590.844 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.10860
   0.99374  0.00214  0.10164
   0.98279  0.00365  0.08869
   0.96998  0.00540  0.07354
   0.95565  0.00732  0.05660
   0.94026  0.00934  0.03848
   0.92426  0.01141  0.01979
   0.90794  0.01348  0.00090
   0.89145  0.01554 -0.01798
   0.87488  0.01756 -0.03677
   0.85827  0.01955 -0.05535
   0.84163  0.02150 -0.07378
   0.82498  0.02342 -0.09197
   0.80831  0.02531 -0.11004
   0.79164  0.02715 -0.12782
   0.77497  0.02896 -0.14566
   0.75829  0.03074 -0.16328
   0.74161  0.03247 -0.18081
   0.72493  0.03417 -0.19839
   0.70825  0.03583 -0.21592
   0.69157  0.03745 -0.23343
   0.67489  0.03904 -0.25109
   0.65822  0.04058 -0.26879
   0.64155  0.04208 -0.28660
   0.62490  0.04354 -0.30464
   0.60824  0.04495 -0.32280
   0.59160  0.04632 -0.34113
   0.57497  0.04764 -0.35983
   0.55835  0.04891 -0.37871
   0.54174  0.05012 -0.39790
   0.52515  0.05129 -0.41736
   0.50858  0.05239 -0.43725
   0.49203  0.05344 -0.45743
   0.47550  0.05442 -0.47803
   0.45899  0.05534 -0.49900
   0.44250  0.05618 -0.52042
   0.42604  0.05696 -0.54228
   0.40962  0.05766 -0.56463
   0.39322  0.05828 -0.58683
   0.37686  0.05881 -0.60927
   0.36055  0.05925 -0.63212
   0.34427  0.05960 -0.65546
   0.32805  0.05984 -0.67911
   0.31188  0.05999 -0.70305
   0.29576  0.06001 -0.72750
   0.27972  0.05992 -0.75359
   0.26374  0.05971 -0.78384
   0.24786  0.05936 -0.82340
   0.23206  0.05887 -0.88266
   0.21638  0.05822 -0.97932
   0.20082  0.05742 -1.14068
   0.18542  0.05645 -1.37962
   0.17020  0.05530 -1.62264
   0.15520  0.05397 -1.64189
   0.14048  0.05243 -1.65993
   0.12612  0.05070 -1.67791
   0.11223  0.04877 -1.69673
   0.09895  0.04665 -1.71729
   0.08645  0.04437 -1.74062
   0.07492  0.04198 -1.76798
   0.06448  0.03953 -1.80087
   0.05523  0.03707 -1.84108
   0.04714  0.03466 -1.89071
   0.04013  0.03232 -1.95193
   0.03407  0.03007 -2.02618
   0.02883  0.02790 -2.11267
   0.02429  0.02580 -2.21055
   0.02033  0.02378 -2.31839
   0.01687  0.02180 -2.43219
   0.01383  0.01987 -2.54652
   0.01117  0.01796 -2.65512
   0.00884  0.01607 -2.74978
   0.00681  0.01418 -2.82103
   0.00506  0.01228 -2.85412
   0.00358  0.01038 -2.83479
   0.00236  0.00847 -2.74011
   0.00140  0.00655 -2.55358
   0.00069  0.00463 -2.27214
   0.00024  0.00274 -1.90539
   0.00003  0.00090 -1.49791
   0.00003 -0.00090 -1.07126
   0.00024 -0.00274 -0.63854
   0.00069 -0.00463 -0.22331
   0.00140 -0.00655  0.14902
   0.00236 -0.00847  0.45108
   0.00358 -0.01038  0.67533
   0.00506 -0.01228  0.83118
   0.00681 -0.01418  0.92840
   0.00884 -0.01607  0.98105
   0.01117 -0.01796  0.99950
   0.01383 -0.01987  0.99359
   0.01687 -0.02180  0.96959
   0.02033 -0.02378  0.93364
   0.02429 -0.02580  0.88801
   0.02883 -0.02790  0.83657
   0.03407 -0.03007  0.78059
   0.04013 -0.03232  0.72179
   0.04714 -0.03466  0.66140
   0.05523 -0.03707  0.60086
   0.06448 -0.03953  0.54136
   0.07492 -0.04198  0.48442
   0.08645 -0.04437  0.43116
   0.09895 -0.04665  0.38248
   0.11223 -0.04877  0.33868
   0.12612 -0.05070  0.29979
   0.14048 -0.05243  0.26545
   0.15520 -0.05397  0.23530
   0.17020 -0.05530  0.20872
   0.18542 -0.05645  0.18541
   0.20082 -0.05742  0.16497
   0.21638 -0.05822  0.14695
   0.23206 -0.05887  0.13111
   0.24786 -0.05936  0.11707
   0.26374 -0.05971  0.10476
   0.27972 -0.05992  0.09395
   0.29577 -0.06001  0.08446
   0.31188 -0.05999  0.07600
   0.32805 -0.05984  0.06863
   0.34427 -0.05960  0.06222
   0.36055 -0.05925  0.05654
   0.37686 -0.05881  0.05167
   0.39322 -0.05827  0.04741
   0.40962 -0.05766  0.04375
   0.42604 -0.05696  0.04060
   0.44250 -0.05618  0.03793
   0.45899 -0.05534  0.03566
   0.47550 -0.05442  0.03385
   0.49203 -0.05344  0.03229
   0.50858 -0.05239  0.03110
   0.52515 -0.05129  0.03021
   0.54175 -0.05012  0.02960
   0.55835 -0.04891  0.02921
   0.57497 -0.04764  0.02910
   0.59160 -0.04632  0.02912
   0.60825 -0.04495  0.02945
   0.62490 -0.04354  0.02988
   0.64155 -0.04208  0.03058
   0.65822 -0.04058  0.03146
   0.67490 -0.03904  0.03250
   0.69157 -0.03745  0.03375
   0.70825 -0.03583  0.03520
   0.72493 -0.03417  0.03693
   0.74161 -0.03247  0.03881
   0.75829 -0.03074  0.04097
   0.77497 -0.02896  0.04338
   0.79165 -0.02715  0.04610
   0.80831 -0.02531  0.04912
   0.82498 -0.02342  0.05249
   0.84163 -0.02150  0.05621
   0.85827 -0.01955  0.06030
   0.87488 -0.01756  0.06486
   0.89145 -0.01554  0.06976
   0.90794 -0.01348  0.07511
   0.92426 -0.01141  0.08071
   0.94026 -0.00934  0.08652
   0.95565 -0.00732  0.09232
   0.96998 -0.00540  0.09779
   0.98279 -0.00365  0.10261
   0.99374 -0.00214  0.10662
   1.00000 -0.00126  0.10860
