NACA 0012 AIRFOILS                              
 Alfa =   9.80000 Re =   231570.188 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.09986
   0.99374  0.00214  0.09530
   0.98279  0.00365  0.08669
   0.96998  0.00540  0.07595
   0.95565  0.00732  0.06318
   0.94026  0.00934  0.04865
   0.92426  0.01141  0.03278
   0.90794  0.01348  0.01585
   0.89145  0.01554 -0.00187
   0.87488  0.01756 -0.02026
   0.85827  0.01955 -0.03913
   0.84163  0.02150 -0.05843
   0.82498  0.02342 -0.07803
   0.80831  0.02531 -0.09794
   0.79164  0.02715 -0.11797
   0.77497  0.02896 -0.13836
   0.75829  0.03074 -0.15881
   0.74161  0.03247 -0.17942
   0.72493  0.03417 -0.20029
   0.70825  0.03583 -0.22127
   0.69157  0.03745 -0.24241
   0.67489  0.03904 -0.26386
   0.65822  0.04058 -0.28547
   0.64155  0.04208 -0.30734
   0.62490  0.04354 -0.32963
   0.60824  0.04495 -0.35213
   0.59160  0.04632 -0.37500
   0.57497  0.04764 -0.39843
   0.55835  0.04891 -0.42220
   0.54174  0.05012 -0.44653
   0.52515  0.05129 -0.47136
   0.50858  0.05239 -0.49690
   0.49203  0.05344 -0.52303
   0.47550  0.05442 -0.54990
   0.45899  0.05534 -0.57759
   0.44250  0.05618 -0.60610
   0.42604  0.05696 -0.63549
   0.40962  0.05766 -0.66590
   0.39322  0.05828 -0.69744
   0.37686  0.05881 -0.73019
   0.36055  0.05925 -0.76421
   0.34427  0.05960 -0.79962
   0.32805  0.05984 -0.83654
   0.31188  0.05999 -0.87514
   0.29576  0.06001 -0.91562
   0.27972  0.05992 -0.95820
   0.26374  0.05971 -1.00318
   0.24786  0.05936 -1.05043
   0.23206  0.05887 -1.10066
   0.21638  0.05822 -1.15429
   0.20082  0.05742 -1.21140
   0.18542  0.05645 -1.27264
   0.17020  0.05530 -1.33875
   0.15520  0.05397 -1.40984
   0.14048  0.05243 -1.48634
   0.12612  0.05070 -1.56930
   0.11223  0.04877 -1.65828
   0.09895  0.04665 -1.75361
   0.08645  0.04437 -1.86070
   0.07492  0.04198 -2.00620
   0.06448  0.03953 -2.27344
   0.05523  0.03707 -2.81946
   0.04714  0.03466 -3.42865
   0.04013  0.03232 -3.46432
   0.03407  0.03007 -3.49567
   0.02883  0.02790 -3.52787
   0.02429  0.02580 -3.56587
   0.02033  0.02378 -3.61576
   0.01687  0.02180 -3.68650
   0.01383  0.01987 -3.79036
   0.01117  0.01796 -3.93547
   0.00884  0.01607 -4.12235
   0.00681  0.01418 -4.33313
   0.00506  0.01228 -4.52350
   0.00358  0.01038 -4.65644
   0.00236  0.00847 -4.68622
   0.00140  0.00655 -4.58073
   0.00069  0.00463 -4.32613
   0.00024  0.00274 -3.91115
   0.00003  0.00090 -3.40571
   0.00003 -0.00090 -2.83471
   0.00024 -0.00274 -2.21486
   0.00069 -0.00463 -1.58445
   0.00140 -0.00655 -0.97466
   0.00236 -0.00847 -0.44291
   0.00358 -0.01038 -0.00812
   0.00506 -0.01228  0.32792
   0.00681 -0.01418  0.57793
   0.00884 -0.01607  0.75390
   0.01117 -0.01796  0.87290
   0.01383 -0.01987  0.94635
   0.01687 -0.02180  0.98626
   0.02033 -0.02378  0.99980
   0.02429 -0.02580  0.99355
   0.02883 -0.02790  0.97185
   0.03407 -0.03007  0.93866
   0.04013 -0.03232  0.89607
   0.04714 -0.03466  0.84712
   0.05523 -0.03707  0.79326
   0.06448 -0.03953  0.73699
   0.07492 -0.04198  0.68022
   0.08645 -0.04437  0.62495
   0.09895 -0.04665  0.57263
   0.11223 -0.04877  0.52409
   0.12612 -0.05070  0.47995
   0.14048 -0.05243  0.43993
   0.15520 -0.05397  0.40401
   0.17020 -0.05530  0.37168
   0.18542 -0.05645  0.34271
   0.20082 -0.05742  0.31672
   0.21638 -0.05822  0.29333
   0.23206 -0.05887  0.27230
   0.24786 -0.05936  0.25318
   0.26374 -0.05971  0.23604
   0.27972 -0.05992  0.22053
   0.29577 -0.06001  0.20657
   0.31188 -0.05999  0.19366
   0.32805 -0.05984  0.18209
   0.34427 -0.05960  0.17159
   0.36055 -0.05925  0.16198
   0.37686 -0.05881  0.15327
   0.39322 -0.05827  0.14528
   0.40962 -0.05766  0.13799
   0.42604 -0.05696  0.13134
   0.44250 -0.05618  0.12525
   0.45899 -0.05534  0.11961
   0.47550 -0.05442  0.11457
   0.49203 -0.05344  0.10979
   0.50858 -0.05239  0.10543
   0.52515 -0.05129  0.10150
   0.54175 -0.05012  0.09783
   0.55835 -0.04891  0.09446
   0.57497 -0.04764  0.09142
   0.59160 -0.04632  0.08845
   0.60825 -0.04495  0.08590
   0.62490 -0.04354  0.08338
   0.64155 -0.04208  0.08121
   0.65822 -0.04058  0.07917
   0.67490 -0.03904  0.07730
   0.69157 -0.03745  0.07560
   0.70825 -0.03583  0.07407
   0.72493 -0.03417  0.07287
   0.74161 -0.03247  0.07164
   0.75829 -0.03074  0.07074
   0.77497 -0.02896  0.06994
   0.79165 -0.02715  0.06949
   0.80831 -0.02531  0.06918
   0.82498 -0.02342  0.06928
   0.84163 -0.02150  0.06958
   0.85827 -0.01955  0.07019
   0.87488 -0.01756  0.07137
   0.89145 -0.01554  0.07289
   0.90794 -0.01348  0.07509
   0.92426 -0.01141  0.07772
   0.94026 -0.00934  0.08107
   0.95565 -0.00732  0.08510
   0.96998 -0.00540  0.08970
   0.98279 -0.00365  0.09440
   0.99374 -0.00214  0.09906
   1.00000 -0.00126  0.09986
