NACA 0012 AIRFOILS                              
 Alfa =  12.10000 Re =   308760.250 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.03879
   0.99374  0.00214  0.03795
   0.98279  0.00365  0.03545
   0.96998  0.00540  0.03134
   0.95565  0.00732  0.02594
   0.94026  0.00934  0.01916
   0.92426  0.01141  0.01104
   0.90794  0.01348  0.00163
   0.89145  0.01554 -0.00903
   0.87488  0.01756 -0.02088
   0.85827  0.01955 -0.03388
   0.84163  0.02150 -0.04800
   0.82498  0.02342 -0.06316
   0.80831  0.02531 -0.07935
   0.79164  0.02715 -0.09645
   0.77497  0.02896 -0.11456
   0.75829  0.03074 -0.13344
   0.74161  0.03247 -0.15317
   0.72493  0.03417 -0.17368
   0.70825  0.03583 -0.19492
   0.69157  0.03745 -0.21681
   0.67489  0.03904 -0.23945
   0.65822  0.04058 -0.26268
   0.64155  0.04208 -0.28652
   0.62490  0.04354 -0.31108
   0.60824  0.04495 -0.33620
   0.59160  0.04632 -0.36195
   0.57497  0.04764 -0.38842
   0.55835  0.04891 -0.41556
   0.54174  0.05012 -0.44339
   0.52515  0.05129 -0.47196
   0.50858  0.05239 -0.50140
   0.49203  0.05344 -0.53165
   0.47550  0.05442 -0.56284
   0.45899  0.05534 -0.59502
   0.44250  0.05618 -0.62824
   0.42604  0.05696 -0.66263
   0.40962  0.05766 -0.69821
   0.39322  0.05828 -0.73525
   0.37686  0.05881 -0.77374
   0.36055  0.05925 -0.81386
   0.34427  0.05960 -0.85575
   0.32805  0.05984 -0.89954
   0.31188  0.05999 -0.94556
   0.29576  0.06001 -0.99392
   0.27972  0.05992 -1.04501
   0.26374  0.05971 -1.09921
   0.24786  0.05936 -1.15655
   0.23206  0.05887 -1.21782
   0.21638  0.05822 -1.28358
   0.20082  0.05742 -1.35426
   0.18542  0.05645 -1.43085
   0.17020  0.05530 -1.51420
   0.15520  0.05397 -1.60537
   0.14048  0.05243 -1.70525
   0.12612  0.05070 -1.81590
   0.11223  0.04877 -1.93821
   0.09895  0.04665 -2.07309
   0.08645  0.04437 -2.22103
   0.07492  0.04198 -2.38228
   0.06448  0.03953 -2.56116
   0.05523  0.03707 -2.78001
   0.04714  0.03466 -3.10929
   0.04013  0.03232 -3.68419
   0.03407  0.03007 -4.51721
   0.02883  0.02790 -4.95014
   0.02429  0.02580 -4.98250
   0.02033  0.02378 -5.01293
   0.01687  0.02180 -5.04802
   0.01383  0.01987 -5.09673
   0.01117  0.01796 -5.17357
   0.00884  0.01607 -5.30315
   0.00681  0.01418 -5.50643
   0.00506  0.01228 -5.78535
   0.00358  0.01038 -6.07209
   0.00236  0.00847 -6.25841
   0.00140  0.00655 -6.27433
   0.00069  0.00463 -6.09087
   0.00024  0.00274 -5.68192
   0.00003  0.00090 -5.13244
   0.00003 -0.00090 -4.47301
   0.00024 -0.00274 -3.72210
   0.00069 -0.00463 -2.92658
   0.00140 -0.00655 -2.12508
   0.00236 -0.00847 -1.39825
   0.00358 -0.01038 -0.78058
   0.00506 -0.01228 -0.28101
   0.00681 -0.01418  0.10978
   0.00884 -0.01607  0.40452
   0.01117 -0.01796  0.62121
   0.01383 -0.01987  0.77554
   0.01687 -0.02180  0.88137
   0.02033 -0.02378  0.94850
   0.02429 -0.02580  0.98605
   0.02883 -0.02790  0.99965
   0.03407 -0.03007  0.99454
   0.04013 -0.03232  0.97426
   0.04714 -0.03466  0.94232
   0.05523 -0.03707  0.90114
   0.06448 -0.03953  0.85393
   0.07492 -0.04198  0.80260
   0.08645 -0.04437  0.75048
   0.09895 -0.04665  0.69914
   0.11223 -0.04877  0.65016
   0.12612 -0.05070  0.60445
   0.14048 -0.05243  0.56217
   0.15520 -0.05397  0.52357
   0.17020 -0.05530  0.48818
   0.18542 -0.05645  0.45599
   0.20082 -0.05742  0.42674
   0.21638 -0.05822  0.39994
   0.23206 -0.05887  0.37554
   0.24786 -0.05936  0.35308
   0.26374 -0.05971  0.33262
   0.27972 -0.05992  0.31386
   0.29577 -0.06001  0.29668
   0.31188 -0.05999  0.28062
   0.32805 -0.05984  0.26592
   0.34427 -0.05960  0.25244
   0.36055 -0.05925  0.23980
   0.37686 -0.05881  0.22822
   0.39322 -0.05827  0.21734
   0.40962 -0.05766  0.20727
   0.42604 -0.05696  0.19786
   0.44250 -0.05618  0.18904
   0.45899 -0.05534  0.18075
   0.47550 -0.05442  0.17310
   0.49203 -0.05344  0.16570
   0.50858 -0.05239  0.15879
   0.52515 -0.05129  0.15230
   0.54175 -0.05012  0.14615
   0.55835 -0.04891  0.14026
   0.57497 -0.04764  0.13474
   0.59160 -0.04632  0.12930
   0.60825 -0.04495  0.12429
   0.62490 -0.04354  0.11931
   0.64155 -0.04208  0.11459
   0.65822 -0.04058  0.11009
   0.67490 -0.03904  0.10567
   0.69157 -0.03745  0.10141
   0.70825 -0.03583  0.09723
   0.72493 -0.03417  0.09339
   0.74161 -0.03247  0.08944
   0.75829 -0.03074  0.08571
   0.77497 -0.02896  0.08205
   0.79165 -0.02715  0.07855
   0.80831 -0.02531  0.07505
   0.82498 -0.02342  0.07188
   0.84163 -0.02150  0.06864
   0.85827 -0.01955  0.06551
   0.87488 -0.01756  0.06266
   0.89145 -0.01554  0.05990
   0.90794 -0.01348  0.05747
   0.92426 -0.01141  0.05483
   0.94026 -0.00934  0.05261
   0.95565 -0.00732  0.05054
   0.96998 -0.00540  0.04888
   0.98279 -0.00365  0.04738
   0.99374 -0.00214  0.04647
   1.00000 -0.00126  0.03879
