NACA 0012 AIRFOILS                              
 Alfa =   0.10000 Re =   138942.109 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.10883
   0.99374  0.00214  0.09274
   0.98279  0.00365  0.06146
   0.96998  0.00540  0.01891
   0.95565  0.00732 -0.03138
   0.94026  0.00934 -0.07679
   0.92426  0.01141 -0.07925
   0.90794  0.01348 -0.08165
   0.89145  0.01554 -0.08408
   0.87488  0.01756 -0.08658
   0.85827  0.01955 -0.08921
   0.84163  0.02150 -0.09200
   0.82498  0.02342 -0.09500
   0.80831  0.02531 -0.09825
   0.79164  0.02715 -0.10179
   0.77497  0.02896 -0.10564
   0.75829  0.03074 -0.10986
   0.74161  0.03247 -0.11448
   0.72493  0.03417 -0.11950
   0.70825  0.03583 -0.12495
   0.69157  0.03745 -0.13080
   0.67489  0.03904 -0.13702
   0.65822  0.04058 -0.14367
   0.64155  0.04208 -0.15077
   0.62490  0.04354 -0.15832
   0.60824  0.04495 -0.16631
   0.59160  0.04632 -0.17469
   0.57497  0.04764 -0.18343
   0.55835  0.04891 -0.19247
   0.54174  0.05012 -0.20175
   0.52515  0.05129 -0.21124
   0.50858  0.05239 -0.22090
   0.49203  0.05344 -0.23066
   0.47550  0.05442 -0.24056
   0.45899  0.05534 -0.25049
   0.44250  0.05618 -0.26052
   0.42604  0.05696 -0.27055
   0.40962  0.05766 -0.28062
   0.39322  0.05828 -0.29072
   0.37686  0.05881 -0.30082
   0.36055  0.05925 -0.31087
   0.34427  0.05960 -0.32090
   0.32805  0.05984 -0.33081
   0.31188  0.05999 -0.34068
   0.29576  0.06001 -0.35043
   0.27972  0.05992 -0.36001
   0.26374  0.05971 -0.36946
   0.24786  0.05936 -0.37848
   0.23206  0.05887 -0.38734
   0.21638  0.05822 -0.39584
   0.20082  0.05742 -0.40379
   0.18542  0.05645 -0.41121
   0.17020  0.05530 -0.41795
   0.15520  0.05397 -0.42372
   0.14048  0.05243 -0.42838
   0.12612  0.05070 -0.43191
   0.11223  0.04877 -0.43361
   0.09895  0.04665 -0.43308
   0.08645  0.04437 -0.43021
   0.07492  0.04198 -0.42405
   0.06448  0.03953 -0.41469
   0.05523  0.03707 -0.40097
   0.04714  0.03466 -0.38345
   0.04013  0.03232 -0.36126
   0.03407  0.03007 -0.33392
   0.02883  0.02790 -0.30122
   0.02429  0.02580 -0.26194
   0.02033  0.02378 -0.21522
   0.01687  0.02180 -0.16054
   0.01383  0.01987 -0.09550
   0.01117  0.01796 -0.01865
   0.00884  0.01607  0.07132
   0.00681  0.01418  0.17529
   0.00506  0.01228  0.29650
   0.00358  0.01038  0.42754
   0.00236  0.00847  0.56936
   0.00140  0.00655  0.71113
   0.00069  0.00463  0.83575
   0.00024  0.00274  0.93302
   0.00003  0.00090  0.98736
   0.00003 -0.00090  0.99878
   0.00024 -0.00274  0.96564
   0.00069 -0.00463  0.89098
   0.00140 -0.00655  0.78201
   0.00236 -0.00847  0.65380
   0.00358 -0.01038  0.52151
   0.00506 -0.01228  0.39351
   0.00681 -0.01418  0.27524
   0.00884 -0.01607  0.17160
   0.01117 -0.01796  0.07928
   0.01383 -0.01987  0.00047
   0.01687 -0.02180 -0.06838
   0.02033 -0.02378 -0.12703
   0.02429 -0.02580 -0.17789
   0.02883 -0.02790 -0.22094
   0.03407 -0.03007 -0.25837
   0.04013 -0.03232 -0.28986
   0.04714 -0.03466 -0.31612
   0.05523 -0.03707 -0.33797
   0.06448 -0.03953 -0.35568
   0.07492 -0.04198 -0.36886
   0.08645 -0.04437 -0.37842
   0.09895 -0.04665 -0.38457
   0.11223 -0.04877 -0.38793
   0.12612 -0.05070 -0.38864
   0.14048 -0.05243 -0.38769
   0.15520 -0.05397 -0.38492
   0.17020 -0.05530 -0.38108
   0.18542 -0.05645 -0.37599
   0.20082 -0.05742 -0.36998
   0.21638 -0.05822 -0.36343
   0.23206 -0.05887 -0.35617
   0.24786 -0.05936 -0.34857
   0.26374 -0.05971 -0.34044
   0.27972 -0.05992 -0.33199
   0.29577 -0.06001 -0.32324
   0.31188 -0.05999 -0.31433
   0.32805 -0.05984 -0.30526
   0.34427 -0.05960 -0.29594
   0.36055 -0.05925 -0.28659
   0.37686 -0.05881 -0.27707
   0.39322 -0.05827 -0.26753
   0.40962 -0.05766 -0.25792
   0.42604 -0.05696 -0.24827
   0.44250 -0.05618 -0.23860
   0.45899 -0.05534 -0.22894
   0.47550 -0.05442 -0.21925
   0.49203 -0.05344 -0.20963
   0.50858 -0.05239 -0.20003
   0.52515 -0.05129 -0.19051
   0.54175 -0.05012 -0.18110
   0.55835 -0.04891 -0.17186
   0.57497 -0.04764 -0.16280
   0.59160 -0.04632 -0.15403
   0.60825 -0.04495 -0.14558
   0.62490 -0.04354 -0.13753
   0.64155 -0.04208 -0.12991
   0.65822 -0.04058 -0.12277
   0.67490 -0.03904 -0.11612
   0.69157 -0.03745 -0.10991
   0.70825 -0.03583 -0.10409
   0.72493 -0.03417 -0.09871
   0.74161 -0.03247 -0.09379
   0.75829 -0.03074 -0.08931
   0.77497 -0.02896 -0.08527
   0.79165 -0.02715 -0.08161
   0.80831 -0.02531 -0.07830
   0.82498 -0.02342 -0.07531
   0.84163 -0.02150 -0.07258
   0.85827 -0.01955 -0.07009
