NACA 0012 AIRFOILS                              
 Alfa =   2.60000 Re =   370512.313 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126  0.17505
   0.99374  0.00214  0.16136
   0.98279  0.00365  0.13530
   0.96998  0.00540  0.10897
   0.95565  0.00732  0.08323
   0.94026  0.00934  0.05879
   0.92426  0.01141  0.03641
   0.90794  0.01348  0.01593
   0.89145  0.01554 -0.00282
   0.87488  0.01756 -0.02033
   0.85827  0.01955 -0.03644
   0.84163  0.02150 -0.05175
   0.82498  0.02342 -0.06600
   0.80831  0.02531 -0.07978
   0.79164  0.02715 -0.09256
   0.77497  0.02896 -0.10535
   0.75829  0.03074 -0.11734
   0.74161  0.03247 -0.12881
   0.72493  0.03417 -0.14015
   0.70825  0.03583 -0.15098
   0.69157  0.03745 -0.16123
   0.67489  0.03904 -0.17134
   0.65822  0.04058 -0.18085
   0.64155  0.04208 -0.19025
   0.62490  0.04354 -0.20044
   0.60824  0.04495 -0.21322
   0.59160  0.04632 -0.23281
   0.57497  0.04764 -0.26421
   0.55835  0.04891 -0.30543
   0.54174  0.05012 -0.33672
   0.52515  0.05129 -0.34388
   0.50858  0.05239 -0.35237
   0.49203  0.05344 -0.36163
   0.47550  0.05442 -0.37150
   0.45899  0.05534 -0.38195
   0.44250  0.05618 -0.39301
   0.42604  0.05696 -0.40467
   0.40962  0.05766 -0.41697
   0.39322  0.05828 -0.42992
   0.37686  0.05881 -0.44352
   0.36055  0.05925 -0.45773
   0.34427  0.05960 -0.47254
   0.32805  0.05984 -0.48794
   0.31188  0.05999 -0.50391
   0.29576  0.06001 -0.52042
   0.27972  0.05992 -0.53747
   0.26374  0.05971 -0.55514
   0.24786  0.05936 -0.57316
   0.23206  0.05887 -0.59187
   0.21638  0.05822 -0.61111
   0.20082  0.05742 -0.63095
   0.18542  0.05645 -0.65140
   0.17020  0.05530 -0.67265
   0.15520  0.05397 -0.69453
   0.14048  0.05243 -0.71705
   0.12612  0.05070 -0.74069
   0.11223  0.04877 -0.76491
   0.09895  0.04665 -0.78996
   0.08645  0.04437 -0.81500
   0.07492  0.04198 -0.84028
   0.06448  0.03953 -0.86463
   0.05523  0.03707 -0.88759
   0.04714  0.03466 -0.90866
   0.04013  0.03232 -0.92666
   0.03407  0.03007 -0.94074
   0.02883  0.02790 -0.95057
   0.02429  0.02580 -0.95473
   0.02033  0.02378 -0.95208
   0.01687  0.02180 -0.94141
   0.01383  0.01987 -0.91892
   0.01117  0.01796 -0.88276
   0.00884  0.01607 -0.82635
   0.00681  0.01418 -0.75018
   0.00506  0.01228 -0.64252
   0.00358  0.01038 -0.50496
   0.00236  0.00847 -0.33159
   0.00140  0.00655 -0.12348
   0.00069  0.00463  0.10742
   0.00024  0.00274  0.34137
   0.00003  0.00090  0.54990
   0.00003 -0.00090  0.72728
   0.00024 -0.00274  0.86480
   0.00069 -0.00463  0.95705
   0.00140 -0.00655  0.99739
   0.00236 -0.00847  0.99125
   0.00358 -0.01038  0.94915
   0.00506 -0.01228  0.88533
   0.00681 -0.01418  0.80638
   0.00884 -0.01607  0.72403
   0.01117 -0.01796  0.64009
   0.01383 -0.01987  0.55930
   0.01687 -0.02180  0.48202
   0.02033 -0.02378  0.40870
   0.02429 -0.02580  0.34058
   0.02883 -0.02790  0.27644
   0.03407 -0.03007  0.21739
   0.04013 -0.03232  0.16225
   0.04714 -0.03466  0.11111
   0.05523 -0.03707  0.06480
   0.06448 -0.03953  0.02268
   0.07492 -0.04198 -0.01447
   0.08645 -0.04437 -0.04654
   0.09895 -0.04665 -0.07387
   0.11223 -0.04877 -0.09661
   0.12612 -0.05070 -0.11511
   0.14048 -0.05243 -0.13027
   0.15520 -0.05397 -0.14224
   0.17020 -0.05530 -0.15180
   0.18542 -0.05645 -0.15900
   0.20082 -0.05742 -0.16429
   0.21638 -0.05822 -0.16815
   0.23206 -0.05887 -0.17060
   0.24786 -0.05936 -0.17196
   0.26374 -0.05971 -0.17227
   0.27972 -0.05992 -0.17173
   0.29577 -0.06001 -0.17036
   0.31188 -0.05999 -0.16850
   0.32805 -0.05984 -0.16606
   0.34427 -0.05960 -0.16306
   0.36055 -0.05925 -0.15972
   0.37686 -0.05881 -0.15589
   0.39322 -0.05827 -0.15189
   0.40962 -0.05766 -0.14752
   0.42604 -0.05696 -0.14295
   0.44250 -0.05618 -0.13816
   0.45899 -0.05534 -0.13318
   0.47550 -0.05442 -0.12800
   0.49203 -0.05344 -0.12273
   0.50858 -0.05239 -0.11731
   0.52515 -0.05129 -0.11169
   0.54175 -0.05012 -0.10600
   0.55835 -0.04891 -0.10019
   0.57497 -0.04764 -0.09419
   0.59160 -0.04632 -0.08820
   0.60825 -0.04495 -0.08195
   0.62490 -0.04354 -0.07569
   0.64155 -0.04208 -0.06919
   0.65822 -0.04058 -0.06256
   0.67490 -0.03904 -0.05582
   0.69157 -0.03745 -0.04893
   0.70825 -0.03583 -0.04189
   0.72493 -0.03417 -0.03473
   0.74161 -0.03247 -0.02759
   0.75829 -0.03074 -0.02050
   0.77497 -0.02896 -0.01362
   0.79165 -0.02715 -0.00709
   0.80831 -0.02531 -0.00104
   0.82498 -0.02342  0.00445
   0.84163 -0.02150  0.00943
   0.85827 -0.01955  0.01399
   0.87488 -0.01756  0.01802
   0.89145 -0.01554  0.02152
   0.90794 -0.01348  0.02453
   0.92426 -0.01141  0.02713
   0.94026 -0.00934  0.02941
   0.95565 -0.00732  0.03146
   0.96998 -0.00540  0.03342
   0.98279 -0.00365  0.09338
   0.99374 -0.00214  0.14612
   1.00000 -0.00126  0.17505
