NACA 2415                                       
 Alfa =  18.62500 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.21208
   0.99318  0.00326 -0.21303
   0.98173  0.00600 -0.21464
   0.96880  0.00906 -0.21647
   0.95446  0.01238 -0.21853
   0.93889  0.01591 -0.22080
   0.92241  0.01956 -0.22324
   0.90530  0.02327 -0.22582
   0.88776  0.02697 -0.22852
   0.86990  0.03064 -0.23134
   0.85186  0.03426 -0.23425
   0.83372  0.03780 -0.23725
   0.81551  0.04126 -0.24034
   0.79724  0.04464 -0.24352
   0.77892  0.04793 -0.24681
   0.76059  0.05113 -0.25019
   0.74224  0.05423 -0.25368
   0.72388  0.05724 -0.25729
   0.70551  0.06016 -0.26101
   0.68713  0.06297 -0.26486
   0.66875  0.06569 -0.26885
   0.65038  0.06831 -0.27298
   0.63203  0.07083 -0.27727
   0.61369  0.07324 -0.28172
   0.59536  0.07554 -0.28635
   0.57704  0.07773 -0.29118
   0.55874  0.07980 -0.29622
   0.54048  0.08177 -0.30148
   0.52226  0.08361 -0.30699
   0.50409  0.08532 -0.31276
   0.48596  0.08690 -0.31882
   0.46787  0.08835 -0.32522
   0.44982  0.08966 -0.33197
   0.43188  0.09084 -0.33910
   0.41408  0.09185 -0.34663
   0.39645  0.09270 -0.35460
   0.37898  0.09336 -0.36309
   0.36163  0.09382 -0.37216
   0.34440  0.09409 -0.38191
   0.32729  0.09415 -0.39245
   0.31030  0.09400 -0.40389
   0.29344  0.09362 -0.41638
   0.27672  0.09303 -0.43011
   0.26016  0.09221 -0.44531
   0.24379  0.09116 -0.46228
   0.22763  0.08988 -0.48140
   0.21174  0.08836 -0.50322
   0.19615  0.08660 -0.52856
   0.18090  0.08460 -0.55910
   0.16606  0.08238 -0.59756
   0.15171  0.07995 -0.65159
   0.13796  0.07734 -0.71963
   0.12489  0.07456 -0.72087
   0.11257  0.07165 -0.72201
   0.10108  0.06865 -0.72305
   0.09046  0.06560 -0.72397
   0.08074  0.06256 -0.72477
   0.07191  0.05954 -0.72547
   0.06392  0.05658 -0.72610
   0.05672  0.05368 -0.72671
   0.05024  0.05086 -0.72737
   0.04440  0.04812 -0.72821
   0.03913  0.04546 -0.72939
   0.03438  0.04287 -0.73111
   0.03008  0.04035 -0.73380
   0.02620  0.03789 -0.73808
   0.02268  0.03549 -0.74482
   0.01949  0.03313 -0.75540
   0.01660  0.03082 -0.77199
   0.01398  0.02853 -0.79775
   0.01163  0.02626 -0.83629
   0.00950  0.02401 -0.88844
   0.00760  0.02178 -0.95446
   0.00592  0.01956 -1.02548
   0.00445  0.01734 -1.08517
   0.00319  0.01514 -1.11730
   0.00215  0.01295 -1.11005
   0.00131  0.01077 -1.05929
   0.00067  0.00859 -0.96957
   0.00023  0.00644 -0.85017
  -0.00003  0.00431 -0.70773
  -0.00011  0.00221 -0.54388
  -0.00001  0.00013 -0.35707
   0.00028 -0.00195 -0.15530
   0.00077 -0.00403  0.04799
   0.00145 -0.00612  0.23931
   0.00233 -0.00822  0.41395
   0.00343 -0.01032  0.56778
   0.00476 -0.01241  0.69897
   0.00631 -0.01448  0.80635
   0.00810 -0.01651  0.88700
   0.01013 -0.01851  0.94266
   0.01238 -0.02046  0.97765
   0.01485 -0.02238  0.99543
   0.01757 -0.02427  0.99994
   0.02054 -0.02613  0.99381
   0.02380 -0.02797  0.97952
   0.02739 -0.02980  0.95910
   0.03132 -0.03162  0.93355
   0.03564 -0.03344  0.90382
   0.04040 -0.03525  0.87154
   0.04564 -0.03706  0.83744
   0.05143 -0.03886  0.80169
   0.05784 -0.04067  0.76404
   0.06495 -0.04246  0.72603
   0.07287 -0.04424  0.68815
   0.08166 -0.04599  0.64942
   0.09140 -0.04769  0.61126
   0.10214 -0.04932  0.57400
   0.11390 -0.05084  0.53777
   0.12665 -0.05224  0.50358
   0.14035 -0.05348  0.47095
   0.15491 -0.05455  0.44041
   0.17020 -0.05543  0.41226
   0.18612 -0.05611  0.38644
   0.20258 -0.05661  0.36289
   0.21948 -0.05692  0.34117
   0.23676 -0.05705  0.32137
   0.25434 -0.05702  0.30336
   0.27219 -0.05684  0.28670
   0.29027 -0.05652  0.27147
   0.30856 -0.05607  0.25720
   0.32702 -0.05552  0.24370
   0.34565 -0.05486  0.23089
   0.36440 -0.05413  0.21817
   0.38322 -0.05331  0.20555
   0.40208 -0.05243  0.19309
   0.42093 -0.05149  0.18053
   0.43976 -0.05047  0.16852
   0.45859 -0.04936  0.15733
   0.47746 -0.04818  0.14724
   0.49642 -0.04692  0.13768
   0.51544 -0.04560  0.12850
   0.53452 -0.04423  0.11963
   0.55364 -0.04280  0.11094
   0.57279 -0.04132  0.10244
   0.59199 -0.03979  0.09403
   0.61123 -0.03823  0.08573
   0.63052 -0.03663  0.07741
   0.64985 -0.03499  0.06893
   0.66919 -0.03334  0.06014
   0.68854 -0.03165  0.05112
   0.70789 -0.02994  0.04197
   0.72725 -0.02821  0.03276
   0.74664 -0.02645  0.02320
   0.76603 -0.02467  0.01327
   0.78541 -0.02287  0.00277
   0.80477 -0.02106 -0.00809
   0.82409 -0.01923 -0.01934
   0.84336 -0.01739 -0.03122
   0.86253 -0.01554 -0.04384
   0.88153 -0.01368 -0.05736
   0.90022 -0.01184 -0.07176
   0.91844 -0.01002 -0.08688
   0.93595 -0.00824 -0.10276
   0.95244 -0.00655 -0.11953
   0.96758 -0.00498 -0.13698
   0.98112 -0.00357 -0.15691
   0.99298 -0.00231 -0.17567
   1.00000 -0.00157 -0.21208
