NACA 2415                                       
 Alfa =  16.62500 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.19081
   0.99318  0.00326 -0.19185
   0.98173  0.00600 -0.19362
   0.96880  0.00906 -0.19563
   0.95446  0.01238 -0.19790
   0.93889  0.01591 -0.20040
   0.92241  0.01956 -0.20310
   0.90530  0.02327 -0.20596
   0.88776  0.02697 -0.20896
   0.86990  0.03064 -0.21209
   0.85186  0.03426 -0.21534
   0.83372  0.03780 -0.21869
   0.81551  0.04126 -0.22215
   0.79724  0.04464 -0.22573
   0.77892  0.04793 -0.22943
   0.76059  0.05113 -0.23325
   0.74224  0.05423 -0.23720
   0.72388  0.05724 -0.24129
   0.70551  0.06016 -0.24553
   0.68713  0.06297 -0.24993
   0.66875  0.06569 -0.25450
   0.65038  0.06831 -0.25925
   0.63203  0.07083 -0.26419
   0.61369  0.07324 -0.26935
   0.59536  0.07554 -0.27473
   0.57704  0.07773 -0.28036
   0.55874  0.07980 -0.28626
   0.54048  0.08177 -0.29245
   0.52226  0.08361 -0.29895
   0.50409  0.08532 -0.30580
   0.48596  0.08690 -0.31304
   0.46787  0.08835 -0.32071
   0.44982  0.08966 -0.32886
   0.43188  0.09084 -0.33751
   0.41408  0.09185 -0.34672
   0.39645  0.09270 -0.35654
   0.37898  0.09336 -0.36706
   0.36163  0.09382 -0.37841
   0.34440  0.09409 -0.39072
   0.32729  0.09415 -0.40415
   0.31030  0.09400 -0.41889
   0.29344  0.09362 -0.43520
   0.27672  0.09303 -0.45340
   0.26016  0.09221 -0.47393
   0.24379  0.09116 -0.49740
   0.22763  0.08988 -0.52472
   0.21174  0.08836 -0.55792
   0.19615  0.08660 -0.60040
   0.18090  0.08460 -0.66593
   0.16606  0.08238 -0.70471
   0.15171  0.07995 -0.70581
   0.13796  0.07734 -0.70684
   0.12489  0.07456 -0.70779
   0.11257  0.07165 -0.70866
   0.10108  0.06865 -0.70946
   0.09046  0.06560 -0.71021
   0.08074  0.06256 -0.71092
   0.07191  0.05954 -0.71167
   0.06392  0.05658 -0.71256
   0.05672  0.05368 -0.71372
   0.05024  0.05086 -0.71538
   0.04440  0.04812 -0.71782
   0.03913  0.04546 -0.72152
   0.03438  0.04287 -0.72711
   0.03008  0.04035 -0.73565
   0.02620  0.03789 -0.74860
   0.02268  0.03549 -0.76795
   0.01949  0.03313 -0.79642
   0.01660  0.03082 -0.83650
   0.01398  0.02853 -0.88796
   0.01163  0.02626 -0.94981
   0.00950  0.02401 -1.01428
   0.00760  0.02178 -1.07251
   0.00592  0.01956 -1.11603
   0.00445  0.01734 -1.13539
