NACA 2415                                       
 Alfa =  16.32653 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.17912
   0.99318  0.00326 -0.18020
   0.98173  0.00600 -0.18202
   0.96880  0.00906 -0.18410
   0.95446  0.01238 -0.18645
   0.93889  0.01591 -0.18904
   0.92241  0.01956 -0.19185
   0.90530  0.02327 -0.19483
   0.88776  0.02697 -0.19797
   0.86990  0.03064 -0.20125
   0.85186  0.03426 -0.20466
   0.83372  0.03780 -0.20819
   0.81551  0.04126 -0.21185
   0.79724  0.04464 -0.21565
   0.77892  0.04793 -0.21958
   0.76059  0.05113 -0.22367
   0.74224  0.05423 -0.22791
   0.72388  0.05724 -0.23231
   0.70551  0.06016 -0.23690
   0.68713  0.06297 -0.24168
   0.66875  0.06569 -0.24667
   0.65038  0.06831 -0.25189
   0.63203  0.07083 -0.25734
   0.61369  0.07324 -0.26307
   0.59536  0.07554 -0.26908
   0.57704  0.07773 -0.27541
   0.55874  0.07980 -0.28209
   0.54048  0.08177 -0.28915
   0.52226  0.08361 -0.29662
   0.50409  0.08532 -0.30455
   0.48596  0.08690 -0.31301
   0.46787  0.08835 -0.32205
   0.44982  0.08966 -0.33174
   0.43188  0.09084 -0.34215
   0.41408  0.09185 -0.35333
   0.39645  0.09270 -0.36540
   0.37898  0.09336 -0.37849
   0.36163  0.09382 -0.39278
   0.34440  0.09409 -0.40849
   0.32729  0.09415 -0.42587
   0.31030  0.09400 -0.44525
   0.29344  0.09362 -0.46704
   0.27672  0.09303 -0.49179
   0.26016  0.09221 -0.52025
   0.24379  0.09116 -0.55349
   0.22763  0.08988 -0.59316
   0.21174  0.08836 -0.64219
   0.19615  0.08660 -0.70740
   0.18090  0.08460 -0.83306
   0.16606  0.08238 -0.83573
   0.15171  0.07995 -0.83705
   0.13796  0.07734 -0.83827
   0.12489  0.07456 -0.83942
   0.11257  0.07165 -0.84049
   0.10108  0.06865 -0.84150
   0.09046  0.06560 -0.84246
   0.08074  0.06256 -0.84340
   0.07191  0.05954 -0.84441
   0.06392  0.05658 -0.84561
   0.05672  0.05368 -0.84716
   0.05024  0.05086 -0.84929
   0.04440  0.04812 -0.85239
   0.03913  0.04546 -0.85698
   0.03438  0.04287 -0.86378
   0.03008  0.04035 -0.87401
   0.02620  0.03789 -0.88929
   0.02268  0.03549 -0.91179
   0.01949  0.03313 -0.94441
   0.01660  0.03082 -0.98919
   0.01398  0.02853 -1.04585
   0.01163  0.02626 -1.11242
   0.00950  0.02401 -1.18059
   0.00760  0.02178 -1.24095
   0.00592  0.01956 -1.28672
   0.00445  0.01734 -1.30668
   0.00319  0.01514 -1.29429
   0.00215  0.01295 -1.24109
   0.00131  0.01077 -1.14640
   0.00067  0.00859 -1.01690
   0.00023  0.00644 -0.86357
  -0.00003  0.00431 -0.69307
  -0.00011  0.00221 -0.50409
  -0.00001  0.00013 -0.30015
   0.00028 -0.00195 -0.08419
   0.00077 -0.00403  0.12586
   0.00145 -0.00612  0.31818
   0.00233 -0.00822  0.49115
   0.00343 -0.01032  0.63993
   0.00476 -0.01241  0.76290
