NACA 2415                                       
 Alfa =  17.12500 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.18869
   0.99318  0.00326 -0.18971
   0.98173  0.00600 -0.19145
   0.96880  0.00906 -0.19342
   0.95446  0.01238 -0.19565
   0.93889  0.01591 -0.19811
   0.92241  0.01956 -0.20076
   0.90530  0.02327 -0.20358
   0.88776  0.02697 -0.20654
   0.86990  0.03064 -0.20963
   0.85186  0.03426 -0.21284
   0.83372  0.03780 -0.21616
   0.81551  0.04126 -0.21960
   0.79724  0.04464 -0.22315
   0.77892  0.04793 -0.22683
   0.76059  0.05113 -0.23064
   0.74224  0.05423 -0.23459
   0.72388  0.05724 -0.23869
   0.70551  0.06016 -0.24295
   0.68713  0.06297 -0.24737
   0.66875  0.06569 -0.25198
   0.65038  0.06831 -0.25679
   0.63203  0.07083 -0.26181
   0.61369  0.07324 -0.26706
   0.59536  0.07554 -0.27256
   0.57704  0.07773 -0.27834
   0.55874  0.07980 -0.28442
   0.54048  0.08177 -0.29082
   0.52226  0.08361 -0.29758
   0.50409  0.08532 -0.30473
   0.48596  0.08690 -0.31233
   0.46787  0.08835 -0.32043
   0.44982  0.08966 -0.32907
   0.43188  0.09084 -0.33832
   0.41408  0.09185 -0.34821
   0.39645  0.09270 -0.35884
   0.37898  0.09336 -0.37032
   0.36163  0.09382 -0.38278
   0.34440  0.09409 -0.39641
   0.32729  0.09415 -0.41140
   0.31030  0.09400 -0.42799
   0.29344  0.09362 -0.44651
   0.27672  0.09303 -0.46736
   0.26016  0.09221 -0.49107
   0.24379  0.09116 -0.51837
   0.22763  0.08988 -0.55029
   0.21174  0.08836 -0.58847
   0.19615  0.08660 -0.63583
   0.18090  0.08460 -0.69948
   0.16606  0.08238 -0.82325
   0.15171  0.07995 -0.82468
   0.13796  0.07734 -0.82600
   0.12489  0.07456 -0.82723
   0.11257  0.07165 -0.82837
   0.10108  0.06865 -0.82942
   0.09046  0.06560 -0.83038
   0.08074  0.06256 -0.83126
   0.07191  0.05954 -0.83213
   0.06392  0.05658 -0.83306
   0.05672  0.05368 -0.83416
   0.05024  0.05086 -0.83558
   0.04440  0.04812 -0.83758
   0.03913  0.04546 -0.84050
   0.03438  0.04287 -0.84483
   0.03008  0.04035 -0.85142
   0.02620  0.03789 -0.86149
   0.02268  0.03549 -0.87665
   0.01949  0.03313 -0.89937
   0.01660  0.03082 -0.93292
   0.01398  0.02853 -0.97937
   0.01163  0.02626 -1.03848
   0.00950  0.02401 -1.10760
   0.00760  0.02178 -1.17728
   0.00592  0.01956 -1.23585
   0.00445  0.01734 -1.27200
   0.00319  0.01514 -1.27506
   0.00215  0.01295 -1.23840
   0.00131  0.01077 -1.15753
   0.00067  0.00859 -1.03966
   0.00023  0.00644 -0.89700
  -0.00003  0.00431 -0.73345
  -0.00011  0.00221 -0.55035
  -0.00001  0.00013 -0.35092
   0.00028 -0.00195 -0.13629
   0.00077 -0.00403  0.07466
   0.00145 -0.00612  0.27246
   0.00233 -0.00822  0.44807
   0.00343 -0.01032  0.60139
   0.00476 -0.01241  0.73103
   0.00631 -0.01448  0.83332
   0.00810 -0.01651  0.90823
   0.01013 -0.01851  0.95798
   0.01238 -0.02046  0.98732
   0.01485 -0.02238  0.99899
   0.01757 -0.02427  0.99805
   0.02054 -0.02613  0.98666
   0.02380 -0.02797  0.96788
   0.02739 -0.02980  0.94293
   0.03132 -0.03162  0.91358
   0.03564 -0.03344  0.88060
   0.04040 -0.03525  0.84529
   0.04564 -0.03706  0.80866
   0.05143 -0.03886  0.77058
   0.05784 -0.04067  0.73117
   0.06495 -0.04246  0.69164
   0.07287 -0.04424  0.65243
   0.08166 -0.04599  0.61281
   0.09140 -0.04769  0.57404
   0.10214 -0.04932  0.53647
   0.11390 -0.05084  0.50031
   0.12665 -0.05224  0.46611
   0.14035 -0.05348  0.43405
   0.15491 -0.05455  0.40396
   0.17020 -0.05543  0.37657
   0.18612 -0.05611  0.35159
   0.20258 -0.05661  0.32888
   0.21948 -0.05692  0.30828
   0.23676 -0.05705  0.28948
   0.25434 -0.05702  0.27251
   0.27219 -0.05684  0.25695
   0.29027 -0.05652  0.24271
   0.30856 -0.05607  0.22958
   0.32702 -0.05552  0.21712
   0.34565 -0.05486  0.20537
   0.36440 -0.05413  0.19369
   0.38322 -0.05331  0.18205
   0.40208 -0.05243  0.17060
   0.42093 -0.05149  0.15909
   0.43976 -0.05047  0.14801
   0.45859 -0.04936  0.13783
   0.47746 -0.04818  0.12871
   0.49642 -0.04692  0.12014
   0.51544 -0.04560  0.11197
   0.53452 -0.04423  0.10407
   0.55364 -0.04280  0.09641
   0.57279 -0.04132  0.08891
   0.59199 -0.03979  0.08148
   0.61123 -0.03823  0.07422
   0.63052 -0.03663  0.06692
   0.64985 -0.03499  0.05949
   0.66919 -0.03334  0.05172
   0.68854 -0.03165  0.04380
   0.70789 -0.02994  0.03568
   0.72725 -0.02821  0.02762
   0.74664 -0.02645  0.01920
   0.76603 -0.02467  0.01043
   0.78541 -0.02287  0.00114
   0.80477 -0.02106 -0.00846
   0.82409 -0.01923 -0.01842
   0.84336 -0.01739 -0.02895
   0.86253 -0.01554 -0.04012
   0.88153 -0.01368 -0.05212
   0.90022 -0.01184 -0.06494
   0.91844 -0.01002 -0.07828
   0.93595 -0.00824 -0.09237
   0.95244 -0.00655 -0.10716
   0.96758 -0.00498 -0.12257
   0.98112 -0.00357 -0.14014
   0.99298 -0.00231 -0.15650
   1.00000 -0.00157 -0.18869
