NACA 2415                                       
 Alfa =  17.00000 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.19140
   0.99318  0.00326 -0.19242
   0.98173  0.00600 -0.19415
   0.96880  0.00906 -0.19612
   0.95446  0.01238 -0.19834
   0.93889  0.01591 -0.20079
   0.92241  0.01956 -0.20343
   0.90530  0.02327 -0.20623
   0.88776  0.02697 -0.20917
   0.86990  0.03064 -0.21224
   0.85186  0.03426 -0.21542
   0.83372  0.03780 -0.21871
   0.81551  0.04126 -0.22210
   0.79724  0.04464 -0.22561
   0.77892  0.04793 -0.22924
   0.76059  0.05113 -0.23298
   0.74224  0.05423 -0.23686
   0.72388  0.05724 -0.24088
   0.70551  0.06016 -0.24504
   0.68713  0.06297 -0.24936
   0.66875  0.06569 -0.25386
   0.65038  0.06831 -0.25853
   0.63203  0.07083 -0.26339
   0.61369  0.07324 -0.26847
   0.59536  0.07554 -0.27378
   0.57704  0.07773 -0.27934
   0.55874  0.07980 -0.28517
   0.54048  0.08177 -0.29130
   0.52226  0.08361 -0.29774
   0.50409  0.08532 -0.30453
   0.48596  0.08690 -0.31172
   0.46787  0.08835 -0.31936
   0.44982  0.08966 -0.32748
   0.43188  0.09084 -0.33612
   0.41408  0.09185 -0.34533
   0.39645  0.09270 -0.35518
   0.37898  0.09336 -0.36576
   0.36163  0.09382 -0.37719
   0.34440  0.09409 -0.38962
   0.32729  0.09415 -0.40322
   0.31030  0.09400 -0.41820
   0.29344  0.09362 -0.43481
   0.27672  0.09303 -0.45339
   0.26016  0.09221 -0.47439
   0.24379  0.09116 -0.49843
   0.22763  0.08988 -0.52638
   0.21174  0.08836 -0.55965
   0.19615  0.08660 -0.60119
   0.18090  0.08460 -0.65817
   0.16606  0.08238 -0.75952
   0.15171  0.07995 -0.76080
   0.13796  0.07734 -0.76199
   0.12489  0.07456 -0.76309
   0.11257  0.07165 -0.76410
   0.10108  0.06865 -0.76504
   0.09046  0.06560 -0.76589
   0.08074  0.06256 -0.76668
   0.07191  0.05954 -0.76747
   0.06392  0.05658 -0.76834
   0.05672  0.05368 -0.76941
   0.05024  0.05086 -0.77085
   0.04440  0.04812 -0.77291
   0.03913  0.04546 -0.77599
   0.03438  0.04287 -0.78059
   0.03008  0.04035 -0.78763
   0.02620  0.03789 -0.79839
   0.02268  0.03549 -0.81457
   0.01949  0.03313 -0.83874
   0.01660  0.03082 -0.87405
   0.01398  0.02853 -0.92167
   0.01163  0.02626 -0.98145
   0.00950  0.02401 -1.04881
   0.00760  0.02178 -1.11415
   0.00592  0.01956 -1.16719
   0.00445  0.01734 -1.19749
   0.00319  0.01514 -1.19411
   0.00215  0.01295 -1.15314
   0.00131  0.01077 -1.06834
   0.00067  0.00859 -0.95052
   0.00023  0.00644 -0.80903
  -0.00003  0.00431 -0.64744
  -0.00011  0.00221 -0.46662
  -0.00001  0.00013 -0.27201
   0.00028 -0.00195 -0.06315
   0.00077 -0.00403  0.14014
   0.00145 -0.00612  0.32765
   0.00233 -0.00822  0.49591
   0.00343 -0.01032  0.64125
   0.00476 -0.01241  0.76260
   0.00631 -0.01448  0.85677
   0.00810 -0.01651  0.92483
   0.01013 -0.01851  0.96861
   0.01238 -0.02046  0.99227
   0.01485 -0.02238  0.99996
   0.01757 -0.02427  0.99538
   0.02054 -0.02613  0.98107
   0.02380 -0.02797  0.95962
   0.02739 -0.02980  0.93291
   0.03132 -0.03162  0.90208
   0.03564 -0.03344  0.86763
   0.04040 -0.03525  0.83144
   0.04564 -0.03706  0.79391
   0.05143 -0.03886  0.75544
   0.05784 -0.04067  0.71563
   0.06495 -0.04246  0.67598
   0.07287 -0.04424  0.63666
   0.08166 -0.04599  0.59722
   0.09140 -0.04769  0.55859
   0.10214 -0.04932  0.52122
   0.11390 -0.05084  0.48530
   0.12665 -0.05224  0.45166
   0.14035 -0.05348  0.41980
   0.15491 -0.05455  0.39028
   0.17020 -0.05543  0.36331
   0.18612 -0.05611  0.33870
   0.20258 -0.05661  0.31648
   0.21948 -0.05692  0.29622
   0.23676 -0.05705  0.27787
   0.25434 -0.05702  0.26124
   0.27219 -0.05684  0.24606
   0.29027 -0.05652  0.23212
   0.30856 -0.05607  0.21935
   0.32702 -0.05552  0.20724
   0.34565 -0.05486  0.19573
   0.36440 -0.05413  0.18434
   0.38322 -0.05331  0.17297
   0.40208 -0.05243  0.16172
   0.42093 -0.05149  0.15041
   0.43976 -0.05047  0.13960
   0.45859 -0.04936  0.12960
   0.47746 -0.04818  0.12069
   0.49642 -0.04692  0.11231
   0.51544 -0.04560  0.10437
   0.53452 -0.04423  0.09662
