NACA 2415                                       
 Alfa =  17.37500 Re =    86121.125 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00157 -0.19813
   0.99318  0.00326 -0.19913
   0.98173  0.00600 -0.20084
   0.96880  0.00906 -0.20277
   0.95446  0.01238 -0.20495
   0.93889  0.01591 -0.20735
   0.92241  0.01956 -0.20994
   0.90530  0.02327 -0.21268
   0.88776  0.02697 -0.21555
   0.86990  0.03064 -0.21855
   0.85186  0.03426 -0.22166
   0.83372  0.03780 -0.22486
   0.81551  0.04126 -0.22817
   0.79724  0.04464 -0.23159
   0.77892  0.04793 -0.23511
   0.76059  0.05113 -0.23875
   0.74224  0.05423 -0.24251
   0.72388  0.05724 -0.24641
   0.70551  0.06016 -0.25044
   0.68713  0.06297 -0.25461
   0.66875  0.06569 -0.25895
   0.65038  0.06831 -0.26345
   0.63203  0.07083 -0.26813
   0.61369  0.07324 -0.27301
   0.59536  0.07554 -0.27809
   0.57704  0.07773 -0.28341
   0.55874  0.07980 -0.28897
   0.54048  0.08177 -0.29481
   0.52226  0.08361 -0.30093
   0.50409  0.08532 -0.30737
   0.48596  0.08690 -0.31416
   0.46787  0.08835 -0.32135
   0.44982  0.08966 -0.32898
   0.43188  0.09084 -0.33707
   0.41408  0.09185 -0.34566
   0.39645  0.09270 -0.35481
   0.37898  0.09336 -0.36460
   0.36163  0.09382 -0.37514
   0.34440  0.09409 -0.38654
   0.32729  0.09415 -0.39895
   0.31030  0.09400 -0.41254
   0.29344  0.09362 -0.42753
   0.27672  0.09303 -0.44418
   0.26016  0.09221 -0.46286
   0.24379  0.09116 -0.48405
   0.22763  0.08988 -0.50843
   0.21174  0.08836 -0.53705
   0.19615  0.08660 -0.57218
   0.18090  0.08460 -0.61822
   0.16606  0.08238 -0.69839
   0.15171  0.07995 -0.71966
   0.13796  0.07734 -0.72081
   0.12489  0.07456 -0.72189
   0.11257  0.07165 -0.72287
   0.10108  0.06865 -0.72377
   0.09046  0.06560 -0.72457
   0.08074  0.06256 -0.72530
   0.07191  0.05954 -0.72599
   0.06392  0.05658 -0.72672
   0.05672  0.05368 -0.72757
   0.05024  0.05086 -0.72870
   0.04440  0.04812 -0.73029
